Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 W25 Imola R16,L vs Giovine,67% (10/15),55% (6/11),1/1,0/0,54% (7/13),1/3,1/2,- (0/0),- (0/0)
2019 W25 Biella QF,L vs Bronzetti,60% (6/10),58% (7/12),1/1,0/0,22% (2/9),2/4,1/2,- (0/0),- (0/0)
2019 W25 Biella R32,W vs Pieri,35% (9/26),58% (7/12),2/2,1/1,62% (8/13),0/1,0/0,- (0/0),- (0/0)
2019 W25 Tarvisio QF,W vs Lukas,58% (7/12),60% (9/15),2/3,1/1,13% (1/8),0/1,0/0,- (0/0),- (0/0)
2019 W25 Tarvisio R32,W vs Cristian,83% (5/6),78% (7/9),2/2,1/1,64% (7/11),0/0,0/0,- (0/0),- (0/0)
2019 W25 Padova QF,W vs Colmegna,86% (6/7),46% (6/13),2/4,1/2,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2019 W25 Curitiba R32,L vs Seguel,44% (4/9),100% (2/2),0/0,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2019 W25 Surprise AZ R32,L vs Karatantcheva,100% (3/3),50% (1/2),0/0,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2017 Norman OK $25K R16,L vs Vickery,50% (1/2),33% (3/9),0/0,0/0,22% (2/9),1/3,1/2,- (0/0),- (0/0)
2017 Schio $15K QF,L vs Di Sarra,60% (3/5),50% (1/2),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2017 Schio $15K R32,W vs Napolitano,54% (7/13),63% (5/8),2/2,1/1,71% (5/7),1/1,0/0,83% (5/6),40% (2/5)
2017 Imola $25K R16,L vs Rubini,43% (3/7),20% (1/5),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2017 Imola $25K R32,W vs Brianti,79% (11/14),33% (6/18),2/6,1/4,58% (7/12),2/3,0/0,- (0/0),- (0/0)
2017 Charlottesville VA $60K R32,L vs Cabrera,60% (6/10),33% (4/12),1/1,0/0,50% (7/14),1/3,1/2,- (0/0),- (0/0)
2017 Dothan AL $60K R32,L vs Stollar,63% (10/16),38% (8/21),1/2,0/0,38% (5/13),5/7,3/4,33% (2/6),40% (2/5)
2017 Bogota Q1,L vs Lu,50% (9/18),44% (7/16),1/5,0/2,65% (15/23),0/2,0/1,- (0/0),- (0/0)
2017 Campinas $15K F,W vs Petit,58% (7/12),50% (5/10),2/2,1/1,67% (6/9),0/0,0/0,- (0/0),- (0/0)
2017 Campinas $15K SF,W vs Carle,35% (8/23),47% (8/17),2/4,1/1,74% (14/19),1/2,0/0,- (0/0),- (0/0)
2017 Campinas $15K QF,W vs Kurata,100% (7/7),56% (5/9),2/3,1/1,63% (5/8),2/2,0/0,71% (5/7),43% (3/7)
2017 Campinas $15K R16,W vs Cruz,50% (6/12),55% (6/11),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 (8 matches),,56.8%,59.2%,76.9%,80.0%,45.2%,23.1%,33.3%,-,-
2017 (17 matches),,56.3%,44.3%,55.6%,53.3%,53.0%,41.2%,35.7%,63.2%,41.2%
2016 (33 matches),,57.8%,46.4%,63.2%,68.8%,55.1%,58.8%,63.3%,65.6%,36.4%
2015 (12 matches),,56.4%,43.1%,51.9%,54.5%,56.3%,35.0%,40.0%,33.3%,50.0%
2014 (12 matches),,49.6%,57.5%,50.0%,57.1%,47.7%,50.0%,63.6%,52.0%,59.3%
Career (106 matches),,56.8%,49.5%,58.2%,60.4%,52.2%,47.3%,47.1%,56.4%,47.3%
