Date,Tournament,Surface,Rd,,Score
09-Nov-1970,Brisbane,Grass,F,Goolagong / Patricia Edwards [AUS] d. Cynthia Doerner / Lexie Kenny [AUS],6-2 6-3
02-Nov-1970,Toowoomba,Clay,F,Goolagong / Patricia Edwards [AUS] d. Anne Coleman / Marilyn Tesch [AUS],7-6 6-4
19-Oct-1970,Strathfield,,F,Goolagong / Patricia Edwards [AUS] d. Sue Hole / Norma Marsh [AUS],6-3 6-3
28-Sep-1970,Coogee,,F,Goolagong / Patricia Edwards [AUS] d. Anne Coleman / Sue Hole [AUS],6-2 6-1
24-Aug-1970,Innsbruck,Clay,F,Goolagong / Patricia Edwards [AUS] d. Daphne Pattison [ZIM] / Brenda Kirk [RSA],6-3 6-0
20-Jul-1970,Leicester,Grass,F,Goolagong / Patricia Edwards [AUS] d. Judy Tegart / Kerry Reid [AUS],7-5 5-7 6-3
08-Jun-1970,Beckenham,Grass,F,Patti Hogan / Peggy Michel [USA] d. Goolagong / Patricia Edwards [AUS],6-3 6-4
01-Jun-1970,Manchester Rothmans,Grass,F,Kerry Reid [AUS] / Kristy Pigeon [USA] d. Goolagong / Patricia Edwards [AUS],6-1 6-2
20-Apr-1970,Sutton,Clay,F,Margaret Court [AUS] / Joyce Williams [GBR] d. Goolagong / Patricia Edwards [AUS],6-2 6-1
13-Apr-1970,Hampstead,Clay,F,Goolagong / Patricia Edwards [AUS] d. Jill Cooper / Corinne Molesworth [GBR],6-3 9-7
09-Apr-1970,Poole,Clay,F,Goolagong / Patricia Edwards [AUS] d. Rita Bentley / Joyce Williams [GBR],6-4 6-8 6-4
31-Mar-1970,Stalybridge,Clay,F,Goolagong / Patricia Edwards [AUS] d. Jill Cooper / Corinne Molesworth [GBR],6-3 6-1
09-Feb-1970,Newcastle,Clay,F,Patricia Coleman / Karen Krantzcke [AUS] d. Goolagong / Patricia Edwards [AUS],6-3 3-6 7-5
01-Jan-1970,Sydney Manly,Grass,F,Goolagong / Patricia Edwards [AUS] d. Lesley Turner / Jan Lehane [AUS],6-2 3-6 6-0
16-Oct-1969,Strathfield,Grass,F,Goolagong / Patricia Edwards [AUS] d. W Brien / Jill Blackman [AUS],6-1 6-1
02-Oct-1969,Canberra,,F,Patricia Coleman / Pat Macnicol [AUS] d. Goolagong / Patricia Edwards [AUS],6-4 6-3
28-Aug-1969,Sydney Metro,Clay,F,Goolagong / Patricia Edwards [AUS] d. Susan Alexander / Norma Marsh [AUS],6-3 2-6 6-2
12-Jun-1969,Grafton,,F,Goolagong / Patricia Edwards [AUS] d. Ann Davies / Freeman [AUS],6-4 7-5
10-Feb-1969,Cowra,Clay,F,Goolagong / Patricia Edwards [AUS] d. Wendy Gilchrist / Margaret Starr [AUS],6-1 6-3
03-Dec-1968,Gold Coast,Clay,F,Goolagong / Lesley Turner [AUS] d. Burke / Barbara Hawcroft [AUS],6-1 6-3
