Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1983,,,52,1771,,,52,1674,37,1704,,,,
1982,,,58,1738,51,1633,,,33,1690,,,,
1980,,,10,1983,8,1861,10,1843,8,1878,,,,
1979,,,4,2110,4,1930,4,1903,4,1974,,,,
1978,,,6,1980,14,1729,,,3,1936,,,,
1977,,,5,2024,,,5,1868,3,1926,,,,
1976,,,4,2056,5,1826,4,1966,4,1893,,,,
1975,,,6,2082,6,1876,4,2021,5,1979,,,,
1974,,,2,2197,4,1928,2,2119,2,2080,,,,
1973,,,4,2227,4,1998,3,2170,4,2123,,,,
1972,,,4,2170,5,1961,4,2093,4,2074,,,,
1971,,,7,2094,7,1871,7,2012,3,2009,,,,
1970,,,7,2048,,,6,1985,7,1945,,,,
1969,,,47,1642,,,41,1606,36,1593,,,,
1968,,,62,1560,,,57,1530,47,1534,,,,
