Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Gimcheon R16,L vs Jeong,33% (4/12),75% (3/4),2/4,62% (8/13),25% (2/8),1/3,0/0,1/4,0/0,0/0
2019 W25 Jackson MS R32,L vs Li,29% (2/7),50% (1/2),0/4,88% (7/8),14% (1/7),0/1,0/0,0/2,0/0,0/1
2019 W15 Shymkent R32,L vs Tolibova,42% (5/12),60% (3/5),1/6,58% (7/12),0% (0/7),1/2,0/0,0/1,0/0,0/0
2019 W15 Palmanova R16,L vs Medvedeva,38% (3/8),100% (3/3),3/6,88% (7/8),0% (0/7),1/3,0/0,0/1,0/0,0/0
2019 W15 Palmanova R32,W vs Adrover Gallego,57% (4/7),100% (4/4),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2019 W15 Manacor R16,L vs Hoste Ferrer,43% (3/7),67% (2/3),1/5,100% (7/7),0% (0/7),0/2,0/0,0/2,0/0,0/1
2019 W15 Manacor R32,W vs Ortenzi,60% (9/15),89% (8/9),3/6,60% (9/15),33% (3/9),4/6,0/1,1/1,0/1,0/0
2019 W15 Manacor R32,W vs Svatikova,63% (10/16),70% (7/10),2/6,64% (9/14),33% (3/9),2/5,0/0,2/2,0/0,1/1
2017 Kyoto $15K R32,L vs Ueda,44% (4/9),25% (1/4),0/2,44% (4/9),0% (0/4),0/1,0/0,0/2,0/0,0/1
2017 Nanao $25K R32,L vs Inoue,50% (4/8),50% (2/4),2/5,89% (8/9),25% (2/8),0/2,0/0,0/1,0/0,0/1
2017 Nishi Tama $15K R32,L vs Ushijima,14% (1/7),0% (0/1),0/4,86% (6/7),17% (1/6),0/0,0/0,1/2,0/0,0/1
2016 Noto $25K R16,L vs Kobori,33% (2/6),50% (1/2),1/5,100% (7/7),0% (0/7),0/1,0/0,0/2,0/0,0/1
2019 (8 matches),,47.6%,77.5%,32.4%,63.5%,16.7%,50.0%,66.7%,30.8%,50.0%,33.3%
2017 (3 matches),,37.5%,33.3%,18.2%,72.0%,16.7%,0.0%,-,20.0%,-,0.0%
2016 (1 matches),,33.3%,50.0%,20.0%,100.0%,0.0%,0.0%,-,0.0%,-,0.0%
Career (12 matches),,44.7%,68.6%,28.3%,67.5%,15.2%,43.3%,66.7%,25.0%,50.0%,14.3%
