Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,469,255,214,54.4%,633-554,53.3%,6139-5870,51.1%,118-125,48.6%,460,84.4%,17.6%,16.0%,4.5%,58.4%,78.9%,50.1%,66.9%,34.5%,50.6%,1.04
Clay,120,52,68,43.3%,149-174,46.1%,1595-1651,49.1%,27-43,38.6%,108,81.0%,18.3%,12.0%,4.1%,57.5%,76.4%,48.7%,64.7%,34.6%,49.8%,0.98
Grass,125,78,47,62.4%,206-139,59.7%,1932-1748,52.5%,55-41,57.3%,124,89.3%,15.0%,18.4%,3.7%,62.4%,81.1%,51.9%,70.1%,33.1%,51.3%,1.11
Carpet,2,0,2,0.0%,0-4,0.0%,20-27,42.6%,0-2,0.0%,2,90.9%,0.0%,18.3%,2.8%,66.9%,78.9%,53.2%,70.4%,23.1%,46.4%,0.78
Grand Slams,121,61,60,50.4%,227-212,51.7%,2284-2224,50.7%,48-49,49.5%,121,85.1%,16.1%,15.6%,4.1%,59.8%,79.2%,50.1%,67.5%,33.4%,50.3%,1.03
Masters,158,73,85,46.2%,174-195,47.2%,1822-1890,49.1%,35-37,48.6%,157,81.6%,16.3%,14.5%,4.1%,58.2%,77.1%,49.3%,65.5%,33.8%,49.7%,0.98
Other Tours,418,241,177,57.7%,553-432,56.1%,5244-4846,52.0%,109-117,48.2%,411,85.9%,17.8%,16.4%,4.4%,59.1%,79.4%,50.6%,67.6%,34.7%,51.1%,1.07
Best of 5,136,68,68,50.0%,255-241,51.4%,2566-2517,50.5%,56-55,50.5%,125,85.3%,16.2%,15.6%,4.1%,59.7%,79.4%,50.1%,67.6%,33.4%,50.3%,1.03
Best of 3,580,317,263,54.7%,733-630,53.8%,7120-6779,51.2%,144-156,48.0%,569,84.7%,17.4%,15.9%,4.3%,58.9%,78.8%,50.2%,67.0%,34.5%,50.7%,1.05
Finals,21,10,11,47.6%,24-28,46.2%,267-270,49.7%,7-7,50.0%,21,82.3%,17.5%,13.5%,4.7%,57.8%,76.6%,50.9%,65.8%,34.3%,50.0%,1.00
Semi-finals,41,20,21,48.8%,51-51,50.0%,531-527,50.2%,7-15,31.8%,40,84.3%,16.2%,16.7%,3.9%,61.5%,77.9%,49.2%,66.8%,32.8%,50.0%,0.99
Quarter-finals,69,41,28,59.4%,93-78,54.4%,885-847,51.1%,18-17,51.4%,69,86.2%,15.9%,17.1%,4.1%,58.7%,80.8%,50.5%,68.3%,33.3%,50.6%,1.05
vs Righties,620,324,296,52.3%,835-774,51.9%,8334-8111,50.7%,173-184,48.5%,603,84.6%,16.8%,15.7%,4.3%,59.1%,78.8%,50.0%,67.0%,34.0%,50.4%,1.03
vs Lefties,94,59,35,62.8%,149-96,60.8%,1322-1166,53.1%,27-26,50.9%,89,86.3%,19.5%,16.7%,4.4%,58.8%,79.6%,51.2%,67.9%,35.8%,51.7%,1.12
vs Top 10,89,23,66,25.8%,74-166,30.8%,1075-1351,44.3%,25-31,44.6%,81,78.1%,11.7%,14.6%,4.1%,57.8%,75.3%,46.3%,63.1%,30.2%,47.3%,0.82
