Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,16,Hard,30,14,16,46.7%,17,8,9,47.1%,2007,2022,R32,30,1.03,15.6%,4.1%,60.9%,77.5%,48.6%,66.2%,34.7%,61.1%,34.1%
Roland Garros,15,Clay,20,5,15,25.0%,15,6,9,40.0%,2007,2022,R32,20,0.90,11.5%,4.2%,56.6%,75.5%,49.1%,64.1%,32.3%,55.4%,38.3%
Wimbledon,14,Grass,38,24,14,63.2%,40,23,17,57.5%,2007,2022,SF,38,1.08,17.5%,3.3%,62.4%,81.4%,51.7%,70.2%,32.2%,70.5%,36.1%
US Open,17,Hard,35,18,17,51.4%,26,11,15,42.3%,2005,2022,QF,34,1.04,15.4%,5.2%,57.6%,79.4%,50.1%,67.0%,34.2%,60.9%,33.0%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2008,2008,R64,1,0.94,9.8%,0.0%,62.7%,87.5%,42.1%,70.6%,27.6%,50.0%,0.0%
Davis Cup,7,,19,10,9,52.6%,16,8,8,50.0%,2008,2018,,5,1.18,15.8%,3.9%,56.8%,84.9%,49.3%,69.5%,36.1%,60.0%,34.8%
Indian Wells Masters,16,Hard,34,18,16,52.9%,17,6,11,35.3%,2006,2022,QF,34,1.02,13.6%,4.6%,57.4%,77.6%,50.6%,66.1%,34.6%,61.4%,37.3%
Miami Masters,16,Hard,27,11,16,40.7%,9,7,2,77.8%,2006,2022,R16,26,0.99,13.8%,4.4%,56.2%,76.8%,49.2%,64.7%,34.8%,53.8%,36.9%
Cincinnati Masters,14,Hard,27,13,14,48.1%,12,8,4,66.7%,2006,2020,QF,27,0.98,16.3%,4.4%,56.8%,79.3%,49.6%,66.5%,33.0%,56.2%,40.3%
Queen's Club,12,Grass,34,23,11,67.6%,21,13,8,61.9%,2008,2022,W,34,1.15,18.1%,2.8%,63.9%,80.8%,53.1%,70.8%,33.4%,71.1%,31.7%
Houston,12,Clay,30,18,12,60.0%,16,7,9,43.8%,2007,2022,F,29,1.11,14.5%,5.2%,55.6%,78.5%,49.4%,65.6%,38.1%,67.4%,41.0%
Delray Beach,12,Hard,26,15,11,57.7%,11,4,7,36.4%,2007,2022,W,26,1.04,13.7%,4.4%,56.6%,76.0%,51.5%,65.4%,36.1%,66.7%,40.7%
Memphis,11,Hard,30,20,10,66.7%,14,7,7,50.0%,2007,2017,W,30,1.09,17.1%,5.0%,56.8%,80.5%,51.5%,68.0%,34.9%,67.6%,46.1%
Rome Masters,11,Clay,18,7,11,38.9%,13,4,9,30.8%,2009,2020,R16,18,0.92,9.7%,3.4%,57.6%,74.9%,47.5%,63.3%,33.7%,61.7%,39.5%
