Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,9,6,3,66.7%,12-6,66.7%,100-86,53.8%,4-1,80.0%,8,84.4%,22.0%,4.5%,3.1%,59.3%,71.7%,56.6%,65.6%,38.3%,51.5%,1.11,QF (3x)
2023,31,15,16,48.4%,41-39,51.2%,402-383,51.2%,7-5,58.3%,31,76.2%,26.4%,2.5%,2.3%,62.9%,68.5%,50.7%,61.9%,40.0%,50.6%,1.05,F (Porto)
2022,3,2,1,66.7%,4-3,57.1%,35-31,53.0%,0-1,0.0%,3,84.4%,24.2%,6.3%,1.0%,59.9%,71.0%,56.6%,65.2%,36.7%,51.2%,1.05,QF (Quimper)
2021,27,17,10,63.0%,37-27,57.8%,342-310,52.5%,7-8,46.7%,27,80.8%,24.5%,6.3%,2.6%,62.3%,71.2%,50.9%,63.5%,39.7%,51.5%,1.09,F (2x)
2013,24,19,5,79.2%,39-17,69.6%,295-219,57.4%,2-2,50.0%,24,77.7%,37.8%,4.2%,5.0%,59.1%,69.4%,51.3%,62.0%,44.0%,52.7%,1.16,W (2x)
2012,59,38,21,64.4%,75-57,56.8%,660-602,52.3%,11-8,57.9%,58,73.1%,31.9%,3.3%,2.4%,62.0%,65.2%,51.3%,59.9%,42.4%,51.3%,1.06,W (2x)
2011,34,15,19,44.1%,35-44,44.3%,367-401,47.8%,6-7,46.2%,33,71.1%,23.6%,4.1%,2.8%,62.2%,66.0%,48.2%,59.3%,38.9%,49.1%,0.96,W (Furth)
2010,18,8,10,44.4%,21-22,48.8%,195-202,49.1%,2-2,50.0%,17,74.5%,24.0%,3.3%,4.0%,60.8%,69.1%,49.7%,61.5%,38.3%,50.3%,0.99,QF (2x)
2009,1,0,1,0.0%,1-2,33.3%,11-13,45.8%,0-0,-,0,,,,,,,,,,,,R32 (Orbetello)
Career,206,120,86,58.3%,265-217,55.0%,2407-2247,51.7%,39-34,53.4%,201,75.6%,28.1%,3.9%,2.9%,61.7%,67.8%,50.8%,61.3%,40.6%,50.9%,1.05,
