Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Estoril R32,L vs Fils,26.3%,33.8%,45.6%,30.3%,34.8%,43.5%,46.7%,41.7%,57.7%,60.0%,60.0%,15.6%,21.9%,44.4%,10
2022 Gijon R32,L vs Thiem,19.5%,24.4%,25.0%,23.4%,23.3%,30.0%,30.4%,28.7%,60.0%,80.0%,100.0%,10.0%,10.0%,11.1%,-18
2022 Geneva F,L vs Ruud,22.7%,37.3%,57.6%,33.5%,28.2%,47.9%,66.7%,44.8%,58.8%,75.7%,60.0%,12.8%,17.9%,44.1%,-79
2022 Pune F,W vs Ruusuvuori,24.1%,38.0%,53.8%,32.4%,29.6%,46.5%,56.0%,42.3%,81.3%,53.8%,50.0%,15.2%,24.2%,50.0%,31
2019 Winston Salem R32,L vs Haase,31.2%,40.9%,53.4%,36.9%,48.9%,63.8%,79.2%,60.2%,43.5%,79.2%,0.0%,15.0%,20.0%,35.3%,25
2019 Gstaad SF,L vs Stebe,21.9%,28.8%,33.9%,27.1%,28.2%,38.5%,42.9%,37.9%,36.8%,75.0%,83.3%,15.2%,18.2%,25.0%,-35
2019 Wimbledon R16,L vs Nadal,19.7%,27.6%,41.0%,27.0%,25.0%,34.6%,41.0%,35.6%,29.6%,52.0%,50.0%,8.3%,12.5%,40.9%,-79
2019 Halle R32,W vs Hurkacz,26.0%,38.4%,55.8%,33.2%,40.9%,59.1%,61.5%,52.7%,61.9%,56.5%,100.0%,3.7%,7.4%,50.0%,-80
2019 Monte Carlo R64,L vs Medvedev,17.4%,28.3%,30.6%,24.3%,28.0%,44.0%,44.4%,40.8%,60.0%,60.0%,50.0%,5.3%,10.5%,16.7%,-66
2019 Miami R128,W vs Tseng,23.1%,34.6%,56.1%,29.4%,31.8%,43.2%,56.7%,43.0%,63.6%,54.5%,75.0%,12.9%,25.8%,55.6%,11
2019 Auckland R32,W vs Shapovalov,27.6%,36.2%,41.1%,32.0%,35.5%,48.4%,47.5%,42.9%,26.9%,30.6%,50.0%,17.5%,20.0%,33.3%,27
2018 Estoril F,W vs Tiafoe,24.6%,40.4%,55.8%,31.9%,29.4%,47.1%,66.7%,41.8%,69.2%,47.6%,100.0%,17.4%,30.4%,42.1%,-79
2018 Estoril SF,W vs Tsitsipas,16.3%,21.3%,63.6%,24.9%,18.0%,23.0%,74.0%,29.3%,46.2%,65.7%,-,11.1%,16.7%,31.3%,-2
2018 Marrakech R16,W vs Basic,31.7%,45.1%,56.6%,38.0%,46.0%,62.0%,59.3%,56.4%,70.8%,34.6%,100.0%,10.3%,20.7%,53.8%,-15
2018 Indian Wells R64,W vs Zverev,23.0%,31.0%,57.5%,28.9%,32.7%,46.2%,62.9%,44.0%,42.9%,61.3%,33.3%,13.6%,15.9%,52.6%,19
2017 Kitzbuhel F,L vs Kohlschreiber,22.6%,32.1%,44.7%,27.7%,34.4%,43.8%,42.9%,42.8%,53.3%,35.3%,0.0%,5.6%,16.7%,47.1%,-66
2017 Auckland F,L vs Sock,34.7%,37.9%,35.6%,36.4%,45.0%,48.3%,39.4%,47.7%,48.1%,63.6%,100.0%,18.8%,21.9%,30.8%,51
2016 Olympics R32,L vs Del Potro,22.2%,31.9%,51.9%,28.7%,31.9%,46.8%,59.4%,41.9%,65.2%,62.5%,50.0%,4.3%,4.3%,40.9%,-74
2016 Madrid QF,L vs Nadal,14.1%,28.2%,53.3%,21.4%,19.2%,34.6%,59.5%,29.2%,80.8%,42.3%,40.0%,0.0%,11.1%,38.9%,-118
2016 Monte Carlo R64,W vs Karlovic,42.9%,47.1%,59.0%,46.9%,42.9%,46.9%,64.3%,48.6%,45.5%,51.9%,100.0%,45.0%,50.0%,45.5%,-7
Career (34 matches),,24.7%,33.7%,50.0%,30.6%,30.9%,42.6%,55.4%,40.6%,51.7%,53.1%,65.0%,15.7%,20.9%,42.3%,21
