Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Estoril R32,L vs Fils,68.0%,45.1%,5.3%,2/2,2.11,12.3%,66.7%,34.4%,2.1%,2.12,23.3%,79.2%,63.2%,12.5%,2.11,0.0%
2022 Gijon R32,L vs Thiem,65.7%,30.4%,0.0%,0/0,2.38,18.8%,52.2%,33.3%,0.0%,2.48,21.7%,91.7%,27.3%,0.0%,2.11,11.1%
2022 Geneva F,L vs Ruud,69.2%,46.9%,1.7%,2/0,2.56,11.9%,64.6%,45.1%,1.3%,2.56,18.0%,83.3%,50.0%,2.8%,2.56,2.9%
2022 Pune F,W vs Ruusuvuori,64.2%,52.5%,2.1%,1/1,2.38,10.3%,56.7%,42.1%,1.5%,2.36,16.0%,95.8%,69.6%,4.2%,2.43,0.0%
2019 Winston Salem R32,L vs Haase,57.5%,30.4%,12.5%,5/5,2.25,15.8%,45.7%,25.0%,8.6%,2.17,34.8%,78.9%,33.3%,18.4%,2.31,2.9%
2019 Gstaad SF,L vs Stebe,75.0%,53.3%,2.5%,0/2,2.61,7.1%,69.4%,58.8%,4.1%,2.59,14.3%,92.9%,46.2%,0.0%,2.63,0.0%
2019 Wimbledon R16,L vs Nadal,59.0%,27.8%,6.6%,0/4,2.11,4.9%,60.0%,23.8%,2.9%,1.95,7.7%,68.2%,33.3%,13.6%,2.39,0.0%
2019 Halle R32,W vs Hurkacz,53.4%,61.3%,3.4%,1/1,2.42,5.8%,51.3%,55.0%,2.6%,2.35,11.5%,78.6%,72.7%,7.1%,2.50,0.0%
2019 Monte Carlo R64,L vs Medvedev,55.0%,31.8%,5.0%,0/2,2.34,5.6%,50.0%,33.3%,0.0%,2.47,11.1%,72.2%,30.8%,11.1%,2.22,0.0%
2019 Miami R128,W vs Tseng,68.1%,59.7%,3.3%,2/1,2.24,1.8%,68.4%,51.3%,1.8%,2.25,3.4%,76.7%,73.9%,6.7%,2.22,0.0%
2019 Auckland R32,W vs Shapovalov,60.7%,57.4%,8.0%,4/5,2.48,11.0%,60.6%,62.8%,2.8%,2.62,20.0%,75.8%,48.0%,21.2%,2.32,0.0%
2018 Estoril F,W vs Tiafoe,56.4%,51.6%,5.5%,3/0,2.19,7.0%,64.7%,40.9%,2.9%,2.19,12.5%,56.3%,77.8%,12.5%,2.18,0.0%
2018 Estoril SF,W vs Tsitsipas,66.7%,43.8%,0.0%,0/0,2.49,1.5%,60.9%,42.9%,0.0%,2.42,2.0%,80.0%,44.4%,0.0%,2.72,0.0%
2018 Marrakech R16,W vs Basic,72.7%,50.0%,2.0%,2/0,2.25,7.5%,62.7%,37.5%,0.0%,2.24,14.8%,88.9%,60.0%,4.4%,2.25,0.0%
2018 Indian Wells R64,W vs Zverev,67.0%,52.2%,0.0%,0/0,2.56,6.8%,56.9%,54.5%,0.0%,2.57,11.4%,82.9%,50.0%,0.0%,2.55,2.6%
2017 Kitzbuhel F,L vs Kohlschreiber,78.5%,49.0%,7.7%,2/3,-,10.8%,75.6%,47.1%,4.4%,-,10.0%,85.0%,52.9%,15.0%,-,11.8%
2017 Auckland F,L vs Sock,53.8%,50.0%,15.4%,9/3,2.40,5.1%,46.2%,41.7%,11.5%,2.48,9.1%,78.3%,61.1%,26.1%,2.29,0.0%
2016 Olympics R32,L vs Del Potro,60.6%,51.2%,8.5%,6/0,2.50,16.7%,54.8%,43.5%,4.8%,2.48,28.1%,74.1%,60.0%,14.8%,2.52,0.0%
2016 Madrid QF,L vs Nadal,76.7%,37.5%,0.0%,0/0,2.27,3.3%,72.7%,37.5%,0.0%,2.27,4.8%,88.9%,37.5%,0.0%,2.28,0.0%
2016 Monte Carlo R64,W vs Karlovic,50.7%,54.1%,8.2%,5/1,2.59,56.4%,47.9%,52.2%,4.2%,2.50,67.9%,77.8%,57.1%,22.2%,2.82,27.3%
Career (34 matches),,66.6%,48.1%,4.7%,61.2%,2.40,9.2%,62.0%,46.2%,3.3%,2.42,14.5%,81.8%,50.7%,7.7%,2.39,1.9%
