Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Estoril R32,L vs Fils,0.0%,-,7.1%,63.6%,7.9%,11.6%,20.0%,5.6%,0.0%,0.4%,100.0%,-67,-42
2022 Gijon R32,L vs Thiem,0.0%,-,17.1%,23.1%,3.9%,5.3%,5.9%,0.0%,0.0%,0.6%,0.0%,-27,-31
2022 Geneva F,L vs Ruud,0.0%,-,10.6%,87.5%,16.4%,15.8%,10.5%,4.3%,37.5%,0.9%,33.3%,-6,-21
2022 Pune F,W vs Ruusuvuori,0.0%,-,5.9%,75.0%,11.7%,11.1%,30.8%,3.6%,14.3%,0.0%,-,-98,-76
2019 Winston Salem R32,L vs Haase,0.0%,-,9.2%,68.8%,16.2%,10.5%,0.0%,0.0%,0.0%,0.4%,100.0%,4,40
2019 Gstaad SF,L vs Stebe,0.0%,-,9.8%,73.3%,7.1%,9.9%,2.0%,0.0%,0.0%,0.0%,-,-68,-62
2019 Wimbledon R16,L vs Nadal,0.0%,-,14.6%,65.0%,11.4%,15.2%,0.0%,14.7%,0.0%,2.3%,20.0%,-19,-16
2019 Halle R32,W vs Hurkacz,0.0%,-,9.2%,66.7%,16.3%,23.5%,5.0%,0.0%,0.0%,0.4%,0.0%,-67,-40
2019 Monte Carlo R64,L vs Medvedev,0.0%,-,5.8%,20.0%,12.7%,20.0%,0.0%,0.0%,0.0%,0.7%,0.0%,92,67
2019 Miami R128,W vs Tseng,0.0%,-,6.5%,72.7%,18.0%,27.6%,11.1%,5.5%,20.0%,0.3%,0.0%,6,3
2019 Auckland R32,W vs Shapovalov,0.0%,-,9.7%,66.7%,11.9%,27.3%,9.1%,2.5%,0.0%,0.0%,-,-104,-79
2018 Estoril F,W vs Tiafoe,0.0%,-,7.1%,75.0%,11.5%,15.2%,5.0%,0.0%,0.0%,1.1%,50.0%,-63,-58
2018 Estoril SF,W vs Tsitsipas,1.3%,100.0%,8.5%,100.0%,7.5%,8.9%,0.0%,2.8%,10.0%,1.4%,80.0%,-52,-66
2018 Marrakech R16,W vs Basic,0.0%,-,11.0%,90.0%,16.5%,16.3%,11.5%,4.0%,0.0%,0.0%,-,-3,10
2018 Indian Wells R64,W vs Zverev,0.0%,-,12.5%,68.0%,9.6%,13.0%,6.7%,3.4%,0.0%,0.5%,50.0%,-40,-35
2017 Kitzbuhel F,L vs Kohlschreiber,0.0%,-,6.8%,62.5%,14.3%,13.8%,0.0%,0.0%,0.0%,0.0%,-,-42,-20
2017 Auckland F,L vs Sock,0.0%,-,5.2%,55.6%,6.6%,0.0%,0.0%,5.4%,28.6%,0.0%,-,-78,-17
2016 Olympics R32,L vs Del Potro,1.5%,100.0%,11.2%,75.0%,10.8%,16.3%,7.0%,2.3%,14.3%,1.1%,33.3%,-78,-43
2016 Madrid QF,L vs Nadal,1.4%,100.0%,11.1%,81.3%,10.8%,15.6%,10.5%,4.0%,0.0%,0.7%,100.0%,-17,-29
2016 Monte Carlo R64,W vs Karlovic,0.0%,-,4.9%,85.7%,16.1%,20.0%,0.0%,33.3%,66.7%,0.0%,-,-6,4
Career (34 matches),,0.3%,75.0%,8.6%,73.1%,12.4%,16.1%,7.9%,4.1%,14.2%,0.4%,43.2%,-41,-34
