Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,726,36,,,,,,,,,1376,16,,
2023,249,241,215,1527,188,1510,196,1497,,,,,,
2022,82,638,161,1608,146,1569,135,1587,143,1502,,,,
2021,140,500,151,1611,125,1600,153,1558,120,1544,,,,
2020,90,776,120,1631,101,1609,101,1611,,,71,1305,,
2019,60,891,78,1738,80,1687,65,1695,62,1649,37,2115,50,1715
2018,44,1017,73,1736,65,1701,56,1702,82,1605,45,1680,68,1674
2017,57,850,90,1711,88,1671,71,1694,87,1587,236,270,114,1491
2016,43,1030,76,1744,79,1686,59,1723,58,1643,133,585,100,1578
2015,33,1191,38,1837,35,1775,43,1769,42,1702,138,540,73,1637
2014,54,822,90,1711,86,1659,95,1640,55,1654,80,900,75,1623
2013,49,934,53,1787,47,1752,77,1690,68,1632,633,77,,
2012,101,546,158,1595,186,1499,130,1583,139,1509,299,218,,
2011,192,256,292,1419,276,1375,250,1420,207,1420,403,136,,
2010,244,193,259,1469,226,1448,231,1453,,,281,228,,
2009,443,77,,,,,,,,,706,50,,
2008,592,40,,,,,,,,,607,69,,
2007,951,10,,,,,,,,,,,,
