Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 ITF Evansville F,L vs Mcnally,70.9%,44.6%,1.3%,0/1,2.38,24.4%,79.6%,51.2%,0.0%,2.25,35.5%,68.4%,23.1%,5.3%,2.66,0.0%
2025 ITF Evansville SF,W vs Hartono,72.9%,65.1%,20.3%,4/8,2.71,5.0%,80.6%,60.0%,22.6%,2.73,6.5%,94.7%,72.2%,26.3%,2.64,0.0%
2025 ITF Granby R16,L vs Vagramov,76.7%,45.5%,1.2%,1/0,2.14,18.6%,77.6%,42.2%,0.0%,2.18,29.6%,87.5%,52.4%,4.2%,2.07,0.0%
2025 ITF Granby R32,W vs Arconada,88.2%,53.3%,7.8%,2/2,2.57,8.3%,100.0%,48.1%,11.1%,2.58,12.5%,100.0%,61.1%,5.6%,2.54,0.0%
2025 ITF Cary F,W vs Ekstrand,76.6%,63.9%,6.4%,2/1,2.11,6.5%,75.8%,60.0%,9.1%,2.08,8.8%,91.7%,72.7%,0.0%,2.18,0.0%
Last 52 Weeks (5 matches),,76.4%,52.8%,6.5%,42.9%,2.37,12.9%,81.3%,50.9%,6.4%,2.36,18.4%,88.0%,56.8%,8.7%,2.39,0.0%
Career (5 matches),,76.4%,52.8%,6.5%,42.9%,2.37,12.9%,81.3%,50.9%,6.4%,2.36,18.4%,88.0%,56.8%,8.7%,2.39,0.0%
