Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,4,1,3,25.0%,2-6,25.0%,27-45,37.5%,1-0,100.0%,4,58.3%,14.3%,3.4%,5.5%,61.3%,60.4%,38.5%,51.9%,30.0%,41.8%,0.62,R16 (Taipei)
2017,16,5,11,31.3%,10-24,29.4%,141-182,43.7%,1-1,50.0%,16,73.9%,13.1%,2.4%,3.1%,62.3%,68.1%,50.9%,61.6%,34.1%,47.6%,0.89,QF (Kyoto)
2016,32,10,22,31.3%,22-47,31.9%,288-360,44.4%,5-2,71.4%,32,65.8%,23.2%,3.4%,2.3%,65.3%,62.7%,45.9%,56.9%,38.9%,48.0%,0.90,QF (2x)
2015,40,17,23,42.5%,41-51,44.6%,430-449,48.9%,4-8,33.3%,35,74.1%,24.4%,3.1%,2.6%,62.4%,67.2%,50.4%,60.9%,37.4%,49.5%,0.96,SF (3x)
2014,39,17,22,43.6%,37-52,41.6%,449-445,50.2%,7-13,35.0%,39,77.9%,23.2%,3.8%,1.6%,67.4%,66.7%,51.3%,61.7%,37.5%,49.9%,0.98,SF (Toyota)
2013,22,8,14,36.4%,20-33,37.7%,235-272,46.4%,4-3,57.1%,22,71.1%,21.5%,4.0%,1.5%,66.8%,64.5%,51.5%,60.2%,37.2%,48.7%,0.93,SF (Karshi)
2012,28,10,18,35.7%,23-41,35.9%,275-344,44.4%,6-5,54.5%,28,73.4%,15.1%,3.8%,2.9%,67.8%,66.5%,49.4%,61.0%,34.5%,47.7%,0.88,SF (2x)
2011,14,5,9,35.7%,14-20,41.2%,157-170,48.0%,0-6,0.0%,14,73.1%,24.8%,4.7%,1.7%,67.1%,64.1%,51.4%,59.9%,37.4%,49.0%,0.93,QF (2x)
2010,3,1,2,33.3%,3-4,42.9%,35-35,50.0%,1-0,100.0%,3,64.7%,34.3%,2.8%,2.0%,65.1%,62.2%,42.0%,55.2%,45.0%,50.4%,1.00,R16 (Busan)
2009,14,4,10,28.6%,11-22,33.3%,125-176,41.5%,3-3,50.0%,0,,,,,,,,,,,,R16 (4x)
2008,21,8,13,38.1%,21-28,42.9%,219-246,47.1%,3-3,50.0%,0,,,,,,,,,,,,QF (2x)
2007,26,13,13,50.0%,30-30,50.0%,285-280,50.4%,5-6,45.5%,0,,,,,,,,,,,,QF (4x)
2006,19,10,9,52.6%,23-20,53.5%,205-190,51.9%,1-0,100.0%,0,,,,,,,,,,,,F (Penza)
2005,8,1,7,12.5%,2-15,11.8%,70-104,40.2%,1-4,20.0%,0,,,,,,,,,,,,R16 (Burnie)
2004,11,3,8,27.3%,10-18,35.7%,118-148,44.4%,0-0,-,0,,,,,,,,,,,,SF (Lexington)
2003,4,1,3,25.0%,2-7,22.2%,31-51,37.8%,0-0,-,0,,,,,,,,,,,,R16 (Belgaum)
Career,301,114,187,37.9%,271-418,39.3%,3090-3497,46.9%,42-54,43.8%,193,72.6%,21.4%,3.6%,2.3%,65.6%,65.6%,49.6%,60.1%,37.0%,48.7%,0.93,
