Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-11-21),989,14,,,,,,,,,,,,
2021,,,216,1469,203,1440,258,1337,181,1395,,,,
2020,182,386,163,1452,164,1406,164,1314,,,,,,
2019,172,357,194,1541,188,1505,,,163,1448,,,,
2018,227,257,218,1443,220,1396,,,163,1438,,,,
2018,227,257,218,1443,220,1396,,,163,1438,,,,
2017,231,239,,,,,,,,,410,130,,
2016,226,232,,,,,,,,,665,47,,
2015,199,257,,,,,,,,,797,29,,
2014,252,180,195,1513,184,1486,236,1306,,,448,90,,
2013,228,269,158,1595,143,1571,223,1391,,,525,84,,
2012,390,97,,,,,,,,,785,30,,
2011,975,12,,,,,,,,,,,,
