Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2022 Miami R128,W vs Van De Zandschulp,1.3%,0.0%,13.5%,75.0%,11.2%,10.2%,14.3%,4.4%,10.0%,0.7%,0.0%,-69,-70
2021 Davis Cup Finals QF,W vs Kecmanovic,0.0%,-,15.5%,67.5%,13.4%,18.6%,3.3%,4.2%,16.2%,0.9%,40.0%,-22,-26
2021 Miami R64,L vs Karatsev,0.0%,-,1.9%,0.0%,10.7%,11.8%,0.0%,2.9%,33.3%,0.0%,-,-83,-90
2021 Dubai R64,L vs Struff,0.0%,-,0.9%,100.0%,7.0%,0.0%,0.0%,0.0%,0.0%,0.8%,0.0%,-26,-32
2020 Davis Cup Qualifiers RR,L vs Haase,0.0%,-,17.2%,62.5%,12.8%,26.7%,7.1%,5.1%,21.4%,0.8%,0.0%,-54,-56
2020 Australian Open R128,L vs Polmans,1.2%,100.0%,16.2%,64.3%,20.3%,27.3%,8.3%,6.3%,18.2%,3.3%,36.4%,27,3
2019 Davis Cup Finals RR,W vs Van De Zandschulp,0.0%,-,3.4%,33.3%,9.0%,9.3%,33.3%,5.2%,16.7%,1.1%,0.0%,-92,-77
2019 Shanghai R64,W vs Kecmanovic,0.0%,-,9.7%,80.0%,21.5%,31.8%,0.0%,3.8%,25.0%,2.2%,42.9%,-19,-35
2019 St Petersburg R32,W vs Sinner,0.0%,-,5.6%,75.0%,7.2%,3.1%,0.0%,9.9%,9.4%,0.3%,0.0%,-48,-58
2019 Wimbledon R16,L vs Nishikori,1.8%,50.0%,6.2%,66.7%,21.7%,24.0%,22.2%,9.6%,17.9%,1.4%,60.0%,-32,-1
2019 Marseille F,L vs Tsitsipas,0.0%,-,9.0%,93.3%,12.2%,18.9%,12.5%,5.0%,25.0%,0.6%,0.0%,-46,-59
2019 Marseille SF,W vs Humbert,0.0%,-,5.1%,100.0%,10.7%,21.2%,4.8%,4.2%,8.3%,0.7%,50.0%,-110,-86
2019 Rotterdam R16,L vs Dzumhur,2.5%,50.0%,12.3%,44.4%,6.3%,9.6%,0.0%,2.1%,2.5%,0.6%,50.0%,-80,-61
2019 Rotterdam R32,W vs Haase,1.7%,100.0%,12.1%,86.7%,14.1%,26.1%,6.7%,5.2%,9.5%,1.0%,0.0%,-79,-94
2019 Sofia R16,L vs Monfils,0.0%,-,9.9%,66.7%,7.7%,2.9%,20.0%,2.6%,10.0%,2.3%,20.0%,-42,-33
2019 Sofia R32,W vs Djere,0.0%,-,6.1%,55.6%,10.3%,19.4%,0.0%,5.6%,11.1%,0.6%,100.0%,-68,-75
2017 Memphis SF,L vs Basilashvili,0.0%,-,4.1%,50.0%,4.8%,5.1%,0.0%,2.5%,21.4%,0.4%,0.0%,-91,-75
2015 Basel R32,L vs Federer,0.0%,-,3.2%,66.7%,11.4%,15.8%,0.0%,14.8%,0.0%,2.6%,66.7%,-39,-46
2015 Monte Carlo R64,L vs Kohlschreiber,0.0%,-,8.0%,44.4%,8.2%,19.0%,0.0%,5.2%,10.5%,1.4%,33.3%,-18,13
2015 Casablanca R16,L vs Gimeno Traver,0.0%,-,2.5%,50.0%,7.2%,6.1%,11.1%,5.1%,9.1%,2.1%,33.3%,3,-1
Career (23 matches),,0.5%,62.5%,8.7%,65.8%,12.3%,16.5%,9.6%,5.7%,15.8%,1.2%,35.0%,-40,-41
