Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2021 US Open R128,L vs Andujar,102.1,111.9,6.3,113.4,108.7,123,99,85.6,6.0,89.3,84.0,101,63
2019 Wimbledon R16,L vs Nishikori,105.0,110.8,5.9,112.5,109.9,122,79,93.3,4.7,94.2,89.8,104,85
2019 Wimbledon R32,W vs Struff,103.8,108.8,5.6,111.1,106.3,121,92,91.9,4.4,90.2,89.6,100,77
2019 Wimbledon R64,W vs Isner,100.9,104.4,5.5,106.5,103.5,117,90,87.5,5.1,90.3,84.8,102,78
2018 US Open R32,L vs Millman,97.7,110.2,6.2,113.9,107.1,122,95,80.0,4.6,80.8,74.0,98,71
2018 US Open R64,W vs Chung,99.9,109.8,7.0,113.1,107.1,123,92,83.9,4.9,88.3,84.0,100,76
2018 Wimbledon R64,L vs Nadal,107.1,111.4,7.2,110.5,110.8,124,96,95.2,4.4,95.6,95.7,101,85
2017 US Open R32,L vs Pouille,98.6,107.1,6.6,108.3,106.1,119,87,85.0,3.8,88.1,84.0,95,77
2017 Roland Garros R64,L vs Bautista Agut,93.8,97.8,10.6,,,114,62,78.6,8.2,,,92,64
2016 Roland Garros R128,L vs Mannarino,99.1,108.0,6.2,,,119,92,85.0,5.9,,,97,65
2015 US Open R32,L vs Cilic,94.7,108.8,9.0,,,125,85,81.3,4.2,,,92,70
2015 US Open R64,W vs Dimitrov,97.4,110.1,6.5,,,124,98,83.1,5.5,,,96,73
2015 Wimbledon R128,L vs Murray,103.9,112.9,9.2,,,125,73,91.5,5.0,,,100,79
2015 Roland Garros R128,L vs Sela,95.0,105.7,7.3,,,117,84,77.7,3.8,,,84,69
2014 Wimbledon R32,L vs Nadal,103.2,111.9,7.3,,,124,98,89.0,4.1,,,98,72
2014 Roland Garros R64,L vs Isner,94.4,96.3,7.9,,,118,81,86.2,6.5,,,103,74
2014 Roland Garros R128,W vs Mahut,98.2,107.2,8.1,,,120,81,81.1,5.2,,,93,70
2013 US Open R32,L vs Ferrer,95.8,,,,,125,,,,,,,65
2012 Australian Open R16,L vs Murray,94.5,,,,,118,,,,,,,75
2012 Australian Open R32,W vs Monfils,96.8,,,,,124,,,,,,,64
Career (23 matches),,99.1,107.5,7.2,111.0,107.2,125,62,85.4,4.9,89.5,87.7,104,63
