Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,10.0%,70.0%,1.5%,8.8%,69.1%,46.8%,9.5%,35.3%,60.4%,46.3%,0.93,R64 (W50 Heraklion)
2025,36,16,20,44.4%,36-36,50.0%,335-341,49.6%,3-4,42.9%,36,56.5%,41.6%,1.0%,7.1%,65.5%,57.6%,42.0%,52.2%,46.2%,49.2%,0.97,SF (3x)
2024,41,15,26,36.6%,36-52,40.9%,351-423,45.3%,2-4,33.3%,0,,,,,,,,,,,,SF (W15 Kursumlijska Banja)
2023,55,29,26,52.7%,67-59,53.2%,611-579,51.3%,5-6,45.5%,0,,,,,,,,,,,,W (W15 Monastir)
2022,33,15,18,45.5%,36-39,48.0%,325-346,48.4%,3-2,60.0%,0,,,,,,,,,,,,QF (3x)
2021,44,23,21,52.3%,49-46,51.6%,432-430,50.1%,4-5,44.4%,0,,,,,,,,,,,,F (W15 Cairo)
2020,20,11,9,55.0%,23-18,56.1%,200-169,54.2%,1-2,33.3%,0,,,,,,,,,,,,F (W15 Antalya)
2019,51,27,24,52.9%,60-51,54.1%,535-476,52.9%,3-8,27.3%,0,,,,,,,,,,,,W (W15 Tabarka)
2018,66,40,26,60.6%,87-62,58.4%,677-629,51.8%,7-4,63.6%,0,,,,,,,,,,,,F (2x)
2017,60,29,31,48.3%,61-65,48.4%,573-553,50.9%,2-2,50.0%,0,,,,,,,,,,,,SF (4x)
2016,53,29,24,54.7%,64-52,55.2%,519-467,52.6%,4-2,66.7%,0,,,,,,,,,,,,F (Antalya $10K)
2015,77,48,29,62.3%,100-64,61.0%,807-681,54.2%,7-4,63.6%,0,,,,,,,,,,,,W (Mytilene $10K)
2014,68,40,28,58.8%,91-66,58.0%,750-617,54.9%,6-2,75.0%,0,,,,,,,,,,,,F (Adana 10K)
2013,69,38,31,55.1%,88-71,55.3%,749-675,52.6%,7-7,50.0%,0,,,,,,,,,,,,SF (3x)
2012,55,22,33,40.0%,57-76,42.9%,573-644,47.1%,5-5,50.0%,0,,,,,,,,,,,,SF (2x)
2011,52,23,29,44.2%,56-65,46.3%,531-579,47.8%,7-4,63.6%,0,,,,,,,,,,,,SF (3x)
2010,25,11,14,44.0%,28-31,47.5%,279-270,50.8%,0-4,0.0%,0,,,,,,,,,,,,QF (2x)
2009,4,0,4,0.0%,1-8,11.1%,33-53,38.4%,0-2,0.0%,0,,,,,,,,,,,,R32 (4x)
Career,810,416,394,51.4%,940-863,52.1%,8288-7944,51.1%,66-67,49.6%,37,55.2%,42.4%,1.0%,7.2%,65.6%,57.2%,41.2%,51.7%,46.5%,49.1%,0.96,
