Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2004,10,2359,13,2049,14,1953,8,2016,7,1919,,,,
2003,6,2766,7,2154,7,2078,7,2050,6,1966,,,,
2002,3,3796,6,2166,7,2079,7,2061,4,1954,,,,
2001,2,4892,7,2194,7,2096,7,2040,7,1958,,,,
2000,14,1663,16,1997,16,1922,39,1793,14,1829,,,,
1999,23,1140,17,2005,22,1917,27,1875,29,1763,,,,
1998,99,267,51,1835,49,1771,59,1726,43,1674,,,,
1997,65,412,43,1872,41,1796,64,1712,,,,,,
1996,36,710,27,1946,23,1868,80,1706,,,,,,
1993,9,126,9,2142,7,2058,7,2071,7,1979,,,,
1992,7,98,6,2248,6,2141,5,2146,6,2007,,,,
1991,6,142,5,2237,4,2176,7,2104,4,2014,,,,
1990,8,103,5,2181,5,2086,6,2084,10,1910,,,,
