Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2004 US Open SF,L vs Dementieva,6.9,6.1,7.6,54.9%,53.3%,32.5%,44.9%,63.7%,14.1%,1.5,0.4,-3.0,-1.6
2004 US Open QF,W vs Williams,4.5,4.8,4.3,47.5%,45.2%,64.7%,52.0%,51.1%,22.3%,1.5,0.9,-4.0,-3.5
2004 Roland Garros SF,L vs Myskina,5.3,5.7,4.8,38.8%,25.9%,42.1%,61.1%,61.7%,17.0%,-8.0,-5.1,-7.5,-9.1
2003 US Open SF,L vs Henin,5.8,5.8,5.7,51.4%,50.0%,62.8%,35.4%,56.7%,11.3%,-6.0,-1.7,13.0,5.5
2003 Miami F,L vs Williams,4.1,4.8,3.6,44.8%,48.8%,57.9%,38.9%,56.0%,14.0%,3.5,2.1,7.5,6.7
2002 Roland Garros SF,L vs Williams,4.8,4.9,4.6,45.0%,56.5%,44.4%,42.3%,47.4%,14.4%,11.5,5.9,-0.5,-0.3
2002 Roland Garros QF,W vs Dokic,3.6,3.8,3.5,61.6%,37.5%,47.8%,57.1%,41.9%,9.1%,1.0,0.9,0.5,0.4
2002 Miami F,L vs Williams,4.4,4.6,4.2,43.9%,48.8%,47.6%,52.4%,49.4%,10.8%,3.5,2.2,9.5,6.8
2002 Miami SF,W vs Seles,4.2,4.1,4.4,51.2%,61.9%,55.0%,33.3%,48.7%,9.8%,9.5,5.5,8.5,5.2
2002 Australian Open F,W vs Hingis,5.8,6.2,5.3,49.4%,54.4%,61.9%,48.9%,43.0%,8.6%,10.5,4.4,-3.0,-1.1
2002 Australian Open SF,W vs Clijsters,5.8,5.5,6.2,58.9%,51.2%,61.3%,39.4%,54.2%,9.6%,11.0,4.5,-3.0,-1.6
2001 US Open SF,L vs Williams,4.5,5.4,3.7,50.6%,41.2%,36.4%,40.0%,44.1%,9.9%,4.5,3.8,-14.5,-10.1
2001 Wimbledon SF,L vs Henin,4.0,3.7,4.3,48.3%,57.5%,50.0%,25.0%,48.5%,7.4%,2.0,1.7,6.0,4.9
2001 Roland Garros F,W vs Clijsters,4.8,4.4,5.2,48.9%,57.1%,43.3%,39.4%,48.2%,11.7%,0.5,0.2,-10.0,-4.2
2001 Roland Garros SF,W vs Hingis,5.6,5.6,5.6,45.1%,68.8%,48.3%,63.6%,39.2%,7.8%,8.5,6.7,9.0,4.8
2001 Charleston F,W vs Hingis,6.5,6.2,6.8,54.4%,45.5%,50.0%,57.5%,38.6%,6.9%,2.0,1.0,5.5,1.8
2001 Miami F,L vs Williams,3.8,4.1,3.2,51.7%,45.5%,42.9%,40.9%,54.2%,9.2%,-3.0,-1.8,8.5,6.4
2001 Australian Open F,W vs Hingis,5.4,5.0,5.8,52.9%,75.0%,40.0%,36.8%,34.5%,9.9%,8.5,9.0,11.0,6.9
2001 Australian Open SF,W vs Davenport,3.5,3.7,3.2,59.8%,45.2%,53.3%,42.9%,53.7%,16.1%,12.5,13.6,5.5,7.9
2000 Miami SF,W vs Dementieva,4.5,4.6,4.4,60.4%,60.7%,85.7%,46.2%,58.5%,18.5%,3.0,2.8,6.5,10.5
Career (30 matches),,5.0,5.0,5.0,50.3%,49.8%,49.3%,45.4%,47.9%,9.8%,1.6,0.9,2.8,1.7
