Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,304,216,88,71.1%,453-222,67.1%,3509-2621,57.2%,38-23,62.3%,12,-,-,3.8%,4.2%,66.9%,65.1%,48.0%,59.4%,50.7%,54.9%,1.25
Clay,171,121,50,70.8%,255-124,67.3%,1956-1454,57.4%,14-11,56.0%,9,-,-,3.4%,6.0%,57.4%,65.8%,49.8%,59.0%,50.4%,54.5%,1.23
Grass,61,46,15,75.4%,97-41,70.3%,727-530,57.8%,3-5,37.5%,10,-,-,5.4%,5.6%,62.9%,71.0%,55.1%,65.1%,45.7%,54.8%,1.31
Carpet,53,33,20,62.3%,66-45,59.5%,542-457,54.3%,7-7,50.0%,0,,,,,,,,,,,
Grand Slams,180,140,40,77.8%,291-115,71.7%,2183-1490,59.4%,9-17,34.6%,31,-,-,4.1%,5.1%,62.9%,66.9%,50.6%,60.9%,49.2%,54.8%,1.26
Premiers,161,108,53,67.1%,240-134,64.2%,1932-1546,55.5%,21-14,60.0%,0,,,,,,,,,,,
Internationals,21,16,5,76.2%,33-18,64.7%,268-220,54.9%,1-2,33.3%,0,,,,,,,,,,,
Finals,31,14,17,45.2%,37-42,46.8%,364-375,49.3%,3-3,50.0%,0,,,,,,,,,,,
Semi-finals,64,31,33,48.4%,73-77,48.7%,690-705,49.5%,8-7,53.3%,2,-,-,2.7%,1.4%,72.1%,57.0%,39.3%,52.1%,46.3%,49.0%,0.96
Quarter-finals,99,62,37,62.6%,135-87,60.8%,1099-920,54.4%,7-10,41.2%,5,-,-,2.2%,3.3%,68.8%,59.8%,54.0%,58.0%,41.1%,49.5%,0.98
vs Righties,493,341,152,69.2%,725-378,65.7%,5659-4369,56.4%,50-36,58.1%,29,-,-,4.0%,5.1%,63.0%,66.6%,51.2%,60.9%,48.7%,54.6%,1.25
vs Lefties,38,24,14,63.2%,49-37,57.0%,428-369,53.7%,4-5,44.4%,2,-,-,6.3%,5.4%,60.4%,73.1%,40.9%,60.4%,55.8%,57.9%,1.41
vs Top 10,143,50,93,35.0%,134-202,39.9%,1435-1666,46.3%,14-17,45.2%,6,-,-,2.3%,2.9%,70.1%,59.1%,48.6%,55.9%,42.8%,49.1%,0.97
