Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1995,261,4,,,,,,,,,,,,
1993,63,24,48,1867,39,1807,105,1669,25,1770,,,,
1992,46,24,55,1825,59,1745,139,1621,27,1758,,,,
1991,90,13,91,1756,92,1678,147,1595,28,1710,,,,
1990,24,33,40,1835,46,1737,91,1654,20,1765,,,,
1989,22,40,24,1908,37,1757,47,1745,13,1858,,,,
1988,37,24,37,1859,41,1737,48,1709,19,1802,,,,
1987,36,22,33,1847,42,1717,44,1725,18,1784,,,,
1986,28,24,29,1881,30,1778,38,1743,24,1751,,,,
1985,38,,36,1853,34,1744,43,1719,25,1756,,,,
1984,32,,33,1845,30,1743,66,1656,21,1763,,,,
1983,,,17,1972,21,1780,38,1734,12,1867,,,,
1982,,,14,1947,17,1773,27,1762,12,1849,,,,
1981,,,61,1726,76,1571,64,1633,45,1651,,,,
1980,,,59,1727,76,1561,56,1661,31,1683,,,,
1979,,,29,1825,26,1690,43,1660,19,1730,,,,
