Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,548,47,,,,,,,,,814,27,,
2014,341,101,,,,,,,,,,,,
2012,107,623,124,1634,122,1588,93,1620,139,1469,127,595,,
2011,123,535,99,1691,105,1631,73,1675,116,1526,125,641,,
2010,76,838,85,1730,87,1675,67,1692,94,1570,72,1104,,
2009,104,626,122,1643,111,1614,101,1609,106,1531,,,,
2008,78,433,83,1710,82,1665,73,1659,75,1597,,,,
2007,85,382,119,1626,154,1528,84,1618,93,1549,,,,
2006,109,271,147,1584,166,1485,108,1586,101,1539,,,,
2005,141,248,184,1504,195,1433,151,1516,115,1510,,,,
2004,184,176,166,1541,196,1436,145,1526,96,1555,,,,
2003,176,171,,,,,,,,,,,,
2002,202,154,,,,,,,,,,,,
2001,291,68,,,,,,,,,,,,
2000,563,17,,,,,,,,,,,,
