Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,11,3,8,27.3%,2,1,1,50.0%,2005,2013,R64,5,0.77,1.2%,4.9%,66.2%,56.6%,43.9%,52.3%,36.7%,54.9%,50.0%
Roland Garros,10,Clay,21,11,10,52.4%,1,0,1,0.0%,2003,2012,R64,10,0.85,1.2%,3.5%,63.6%,54.1%,47.2%,51.6%,41.3%,46.8%,39.7%
Wimbledon,10,Grass,18,8,10,44.4%,2,1,1,50.0%,2004,2015,R64,8,0.88,2.2%,4.3%,62.4%,62.1%,40.5%,54.0%,40.6%,54.9%,43.1%
US Open,11,Hard,19,8,11,42.1%,2,2,0,100.0%,2003,2015,R64,10,0.93,3.0%,6.2%,60.7%,58.8%,45.8%,53.7%,43.2%,53.8%,47.0%
Fed Cup,2,,6,3,3,50.0%,2,2,0,100.0%,2001,2003,,0,,,,,,,,,,
Indian Wells,8,Hard,13,5,8,38.5%,0,0,0,-,2006,2015,R64,10,0.93,0.4%,5.1%,62.3%,58.8%,46.1%,54.0%,42.7%,47.5%,42.9%
Acapulco,7,Clay,16,9,7,56.3%,3,1,2,33.3%,2004,2012,SF,11,1.04,0.9%,1.3%,71.3%,61.0%,40.0%,54.9%,46.7%,49.4%,48.0%
Miami,7,Hard,9,2,7,22.2%,2,1,1,50.0%,2007,2015,R64,5,0.80,2.5%,5.8%,62.8%,58.3%,44.4%,53.2%,37.6%,40.5%,46.7%
Bogota,6,Clay,17,10,7,58.8%,1,1,0,100.0%,2004,2012,SF,8,0.99,0.7%,5.4%,67.0%,59.4%,47.9%,55.6%,43.8%,57.1%,41.1%
Hobart,4,Hard,12,8,4,66.7%,2,1,1,50.0%,2007,2010,QF,3,1.26,1.7%,3.4%,73.0%,63.0%,61.7%,62.6%,47.2%,68.2%,57.9%
New Haven,4,Hard,8,3,5,37.5%,2,0,2,0.0%,2007,2011,R32,4,0.77,2.0%,5.2%,59.8%,53.7%,48.0%,51.4%,37.6%,46.9%,50.0%
