Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1973,,,36,1775,,,29,1732,27,1712,,,,
1971,,,22,1830,,,23,1764,18,1767,,,,
1969,,,21,1828,23,1660,23,1763,17,1763,,,,
1968,,,30,1777,,,25,1740,27,1688,,,,
1967,,,22,1783,18,1651,26,1702,18,1720,,,,
1965,,,9,1956,6,1796,8,1847,7,1887,,,,
1964,,,16,1855,13,1707,12,1793,11,1787,,,,
1963,,,15,1875,9,1699,12,1808,14,1805,,,,
1962,,,13,1900,8,1718,9,1848,12,1835,,,,
1961,,,6,1992,,,7,1909,3,1917,,,,
1960,,,6,1982,4,1806,5,1938,5,1893,,,,
1959,,,9,1915,2,1841,3,1919,9,1801,,,,
1958,,,8,1934,6,1738,8,1868,6,1813,,,,
1957,,,19,1803,,,11,1765,20,1682,,,,
1956,,,45,1624,,,20,1614,50,1473,,,,
