Date,Tournament,Surface,Rd,,Score
09-Jun-1969,Nottingham,Grass,F,Truman / Michael Sangster [GBR] d. Kerry Harris / John Cooper [AUS],7-5 6-4
31-May-1965,Cheltenham,Grass,F,Annette Van Zyl / Robert Maud [RSA] d. Truman / Raymond Moore [RSA],7-5 5-7 6-2
04-Jan-1965,East London,Hard,F,Janine Lieffrig [FRA] / Juan Manuel Couder [ESP] d. Truman / U Unknown [UNK],3-6 6-4 7-5
19-Dec-1964,Cape Town 2,Hard,F,Annette Van Zyl / Frew Mcmillan [RSA] d. Truman / Wolfgang Stuck [GER],6-3 7-5
06-Jul-1964,Dublin,Grass,F,Truman / Jaroslav Drobny [TCH] d. Mary Osullivan / Michael Hickey [IRL],6-3 7-5
13-May-1964,Berlin,Clay,F,Truman / Jaroslav Drobny [TCH] d. Madonna Schacht / Martin Mulligan [AUS],6-4 6-3
07-May-1964,Stuttgart,Clay,F,Truman / Jaroslav Drobny [TCH] d. Pam Watermeyer / Keith Diepraam [RSA],6-1 6-3
17-Feb-1964,Bremen,Carpet,F,Truman / Jaroslav Drobny [TCH] d. Trudy Groenman [NED] / Patrice Beust [FRA],6-2 7-5
08-Feb-1964,Paris Indoors,Carpet,F,Rosie Reyes / Pierre Darmon [FRA] d. Truman / Jaroslav Drobny [TCH],6-4 13-15 7-5
19-Jan-1964,Copenhagen Indoors,Carpet,F,Gudrin Rosin [SWE] / Reino Nyyssonen [FIN] d. Truman / Robert Wilson [GBR],6-4 6-3
21-Oct-1963,London,Carpet,F,Truman / Gerry Oakley [GBR] d. Ann Jones [GBR] / Ronald Mckenzie [NZL],9-7 9-7
15-Jul-1963,Frinton-On-Sea,Grass,F,Judy Tegart / Neale Fraser [AUS] d. Truman / Geoff Bluett [GBR],6-4 6-2
01-Jan-1963,Sydney Manly,Grass,F,Elizabeth Starkie / Mark Cox [GBR] d. Truman / Roger Taylor [GBR],3-6 6-1 8-6
11-Nov-1962,Adelaide,Grass,F,Truman / Bob Howe [AUS] d. Jan Lehane / John Newcombe [AUS],6-4 9-7
19-Mar-1962,Caracas,Hard,F,Darlene Hard [USA] / Rod Laver [AUS] d. Truman / Roy Emerson [AUS],7-5 7-5
01-Jan-1962,East London,Hard,F,Ann Jones [GBR] / Abe Segal [RSA] d. Truman / Lex Wood [USA],6-2 6-8 6-4
10-Aug-1960,Knokke,Clay,F,Truman / Neale Fraser [AUS] d. Elizabeth Starkie [GBR] / Nee [AUS],6-3 6-3
06-Jan-1960,Adelaide,Grass,F,Maria Bueno [BRA] / Bob Howe [AUS] d. Truman / Martin Mulligan [AUS],9-7 6-4
29-Oct-1959,Brisbane,Grass,F,Jan Lehane / Bob Howe [AUS] d. Truman / Frank Gorman [AUS],7-5 6-2
11-May-1959,Lugano,Clay,F,Yola Ramirez [MEX] / Billy Knight [GBR] d. Truman / Kurt Nielsen [DEN],1-6 6-2 6-4
