Date,Tournament,Surface,Rd,,Score
09-Aug-1969,Wightman Cup,Hard,RR,Truman / Nell Truman [GBR] d. Mary Ann Eisel / Valerie Ziegenfuss [USA],6-1 3-6 6-4
28-Jul-1969,Eastbourne Doubles,Grass,F,Margaret Court / Judy Tegart [AUS] d. Truman / Nell Truman [GBR],6-3 3-6 6-3
14-Jul-1969,Hoylake,Grass,F,Virginia Wade / Joyce Williams [GBR] d. Truman / Nell Truman [GBR],6-3 6-4
09-Jun-1969,Nottingham,Grass,F,Truman / Nell Truman [GBR] d. Julie Anthony [USA] / Faye Urban [CAN],6-4 4-6 6-4
27-Jan-1969,Helsinki,Carpet,F,Truman / Joyce Williams [GBR] d. Christina Sandberg / Margareta Strandberg [SWE],6-0 6-3
20-Jan-1969,Cologne,Carpet,F,Helga Masthoff [FRG] / Heide Orth [GER] d. Truman / Joyce Williams [GBR],6-4 6-4
11-Nov-1968,Queen's Indoors,Carpet,F,Mary Ann Eisel [USA] / Winnie Shaw [GBR] d. Truman / Nell Truman [GBR],6-2 6-3
08-Jul-1968,Newport Wales,Grass,F,Lesley Turner / Judy Tegart [AUS] d. Truman / Nell Truman [GBR],5-7 8-6 6-1
14-Jun-1968,Wightman Cup,Grass,RR,Truman / Nell Truman [GBR] d. Stephanie Defina / Kathleen Harter [USA],6-3 2-6 6-3
22-Apr-1968,Bournemouth,Clay,F,(1) Truman / Nell Truman [GBR] d. (3) Annette Van Zyl [RSA] / Fay Toyne [AUS],6-4 6-3
17-Apr-1968,Chingford,Clay,F,Truman / Nell Truman [GBR] d. Fay Toyne [AUS] / Virginia Wade [GBR],W/O
07-Aug-1965,Wightman Cup,Clay,RR,Nancy Richey / Carole Graebner [USA] d. Truman / Elizabeth Starkie [GBR],6-1 6-0
05-Jul-1965,Dublin,Grass,F,Truman / Maria Bueno [BRA] d. Kathy Blake / Mary Ann Eisel [USA],6-0 6-1
31-May-1965,Cheltenham,Grass,F,Truman / Nell Truman [GBR] d. Annette Van Zyl [RSA] / Carole Rosser [GBR],6-4 1-6 8-6
24-May-1965,Surbiton,Grass,F,Rita Bentley [GBR] / Judy Tegart [AUS] d. Truman / Billie Jean King [USA],6-4 10-8
05-Apr-1965,Hampstead,Clay,F,Ann Jones / Elizabeth Starkie [GBR] d. Truman / Nell Truman [GBR],6-0 5-7 6-2
23-Feb-1965,Johannesburg,Hard,F,Truman / Margaret Hunt [RSA] d. Heather Nicholls / Annette Van Zyl [RSA],6-3 6-2
13-Feb-1965,Bloemfontein,Hard,F,Francoise Durr / Janine Lieffrig [FRA] d. Truman / Annette Van Zyl [RSA],6-2 7-5
22-Jan-1960,Australian Championships,Grass,F,(1) Truman / Maria Bueno [BRA] d. (2) Lorraine Coghlan / Margaret Court [AUS],6-2 5-7 6-2
22-Jun-1959,Wimbledon,Grass,F,(1) Jeanne Arth / Darlene Hard [USA] d. (3) Truman / Beverly Baker Fleitz [USA],2-6 6-2 6-3
