Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,1,3,25.0%,3-4,42.9%,30-38,44.1%,0-1,0.0%,4,61.5%,28.9%,0.0%,5.2%,64.4%,52.8%,52.8%,52.8%,40.9%,46.8%,0.87,R16 (W50 Heraklion)
2025,52,29,23,55.8%,60-51,54.1%,509-486,51.2%,3-4,42.9%,50,56.3%,47.0%,0.3%,2.7%,70.3%,56.9%,41.8%,52.4%,48.7%,50.5%,1.02,F (3x)
2024,44,23,21,52.3%,52-48,52.0%,453-471,49.0%,6-5,54.5%,0,,,,,,,,,,,,F (W35 Solarino)
2023,17,6,11,35.3%,17-25,40.5%,191-206,48.1%,2-4,33.3%,0,,,,,,,,,,,,QF (2x)
2022,23,12,11,52.2%,22-23,48.9%,192-220,46.6%,4-2,66.7%,0,,,,,,,,,,,,F (W25 Santa Margherita di Pula)
2021,39,22,17,56.4%,48-39,55.2%,413-394,51.2%,6-2,75.0%,0,,,,,,,,,,,,SF (3x)
2020,11,7,4,63.6%,13-12,52.0%,118-123,49.0%,2-3,40.0%,4,39.0%,59.5%,0.7%,0.7%,69.9%,50.7%,40.4%,47.6%,54.0%,50.6%,1.03,SF (W25 Malibu CA)
2019,50,25,25,50.0%,59-53,52.7%,525-506,50.9%,6-7,46.2%,0,,,,,,,,,,,,SF (3x)
2018,22,9,13,40.9%,22-25,46.8%,216-228,48.6%,1-4,20.0%,0,,,,,,,,,,,,QF (3x)
2017,60,33,27,55.0%,75-60,55.6%,655-594,52.4%,9-12,42.9%,0,,,,,,,,,,,,W (Santa Margherita Di Pula $25K)
2016,44,26,18,59.1%,60-45,57.1%,514-448,53.4%,6-1,85.7%,0,,,,,,,,,,,,W (2x)
2015,38,29,9,76.3%,61-26,70.1%,460-320,59.0%,5-4,55.6%,0,,,,,,,,,,,,W (3x)
2014,5,1,4,20.0%,4-8,33.3%,46-58,44.2%,0-0,-,0,,,,,,,,,,,,R16 (Santa Margherita Di Pula 10K)
2013,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-1,0.0%,0,,,,,,,,,,,,R32 (San Severo 10K)
Career,410,223,187,54.4%,496-421,54.1%,4331-4105,51.3%,50-50,50.0%,58,55.4%,46.7%,0.3%,2.7%,69.9%,56.1%,42.6%,52.0%,48.5%,50.3%,1.01,
