Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,5,3,2,60.0%,1,0,1,0.0%,1981,1994,QF,0,,,,,,,,,,
Roland Garros,3,Clay,10,7,3,70.0%,3,1,2,33.3%,1982,1994,QF,0,,,,,,,,,,
Wimbledon,6,Grass,26,20,6,76.9%,3,1,2,33.3%,1977,1982,SF,0,,,,,,,,,,
US Open,6,Hard,35,31,4,88.6%,4,4,0,100.0%,1977,1982,W,0,,,,,,,,,,
Wightman Cup,3,Carpet,6,4,2,66.7%,0,0,0,-,1978,1981,W,0,,,,,,,,,,
Fed Cup,3,,14,13,1,92.9%,0,0,0,-,1978,1980,,0,,,,,,,,,,
Eastbourne,6,Grass,26,22,4,84.6%,3,2,1,66.7%,1979,1994,W,0,,,,,,,,,,
Hilton Head,6,Clay,24,20,4,83.3%,5,4,1,80.0%,1977,1994,W,0,,,,,,,,,,
Filderstadt,5,Carpet,25,24,1,96.0%,3,3,0,100.0%,1978,1982,W,0,,,,,,,,,,
Minneapolis,5,Carpet,20,16,4,80.0%,2,0,2,0.0%,1977,1981,W,0,,,,,,,,,,
Tokyo Gunze,5,Carpet,15,12,3,80.0%,1,0,1,0.0%,1978,1983,W,0,,,,,,,,,,
San Diego,4,Hard,20,20,0,100.0%,1,1,0,100.0%,1979,1982,W,0,,,,,,,,,,
