Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2010,2,0,2,0.0%,1-2,33.3%,10-14,41.7%,0-0,-,2,-,-,2.1%,0.0%,55.7%,57.4%,37.2%,48.5%,37.8%,43.9%,0.73,R32 (Stuttgart)
2009,2,1,1,50.0%,2-2,50.0%,16-21,43.2%,1-0,100.0%,2,-,-,0.0%,3.8%,59.5%,50.0%,47.2%,48.9%,45.8%,47.3%,0.89,R16 (Marbella)
2008,4,1,3,25.0%,2-6,25.0%,28-43,39.4%,0-0,-,3,-,-,1.6%,2.2%,59.2%,60.6%,41.3%,52.7%,41.4%,47.5%,0.88,R32 (Dubai)
2007,2,0,2,0.0%,1-4,20.0%,17-29,37.0%,0-0,-,2,-,-,2.9%,2.1%,65.7%,51.1%,33.3%,45.0%,44.3%,44.6%,0.81,R32 (2x)
2006,10,5,5,50.0%,11-11,50.0%,104-96,52.0%,1-0,100.0%,3,-,-,2.4%,3.3%,53.3%,58.0%,37.8%,48.6%,41.4%,45.0%,0.81,R16 (Dubai)
2005,12,2,10,16.7%,6-21,22.2%,112-155,41.9%,1-2,33.3%,1,-,-,6.9%,6.9%,46.6%,77.8%,54.8%,65.5%,28.2%,45.0%,0.82,R16 (Paris)
2004,10,7,3,70.0%,12-7,63.2%,94-66,58.8%,0-0,-,0,,,,,,,,,,,,QF (Cincinnati)
2003,3,0,3,0.0%,0-6,0.0%,17-37,31.5%,0-1,0.0%,1,-,-,7.5%,2.5%,50.0%,65.0%,25.0%,45.0%,17.9%,31.6%,0.33,R32 (2x)
2002,16,4,12,25.0%,11-24,31.4%,139-176,44.1%,1-3,25.0%,0,,,,,,,,,,,,QF (Warsaw)
2001,22,9,13,40.9%,22-30,42.3%,257-273,48.5%,2-7,22.2%,0,,,,,,,,,,,,QF (Dubai)
2000,3,2,1,66.7%,4-2,66.7%,28-19,59.6%,0-0,-,0,,,,,,,,,,,,
1999,4,3,1,75.0%,6-2,75.0%,42-21,66.7%,0-0,-,0,,,,,,,,,,,,
1998,3,2,1,66.7%,4-2,66.7%,32-14,69.6%,0-1,0.0%,0,,,,,,,,,,,,
1997,5,4,1,80.0%,9-2,81.8%,61-20,75.3%,0-0,-,0,,,,,,,,,,,,
1996,5,3,2,60.0%,6-4,60.0%,43-35,55.1%,0-0,-,0,,,,,,,,,,,,
1995,4,2,2,50.0%,5-2,71.4%,33-23,58.9%,0-0,-,0,,,,,,,,,,,,
1993,4,0,4,0.0%,1-8,11.1%,20-52,27.8%,0-0,-,0,,,,,,,,,,,,
1992,3,0,3,0.0%,1-6,14.3%,23-42,35.4%,0-1,0.0%,0,,,,,,,,,,,,
Career,114,45,69,39.5%,104-141,42.4%,1076-1136,48.6%,6-15,28.6%,14,-,-,2.4%,2.8%,57.2%,57.3%,39.9%,49.9%,40.1%,45.1%,0.80,
