Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,56,18,38,32.1%,40-81,33.1%,488-616,44.2%,2-7,22.2%,8,-,-,2.9%,3.3%,57.4%,56.8%,37.3%,48.4%,39.3%,43.9%,0.76
Clay,45,23,22,51.1%,53-40,57.0%,445-351,55.9%,2-5,28.6%,5,-,-,1.0%,2.0%,57.9%,57.4%,46.9%,53.0%,44.7%,49.0%,0.95
Grass,11,3,8,27.3%,9-18,33.3%,124-147,45.8%,1-3,25.0%,1,-,-,7.5%,2.5%,50.0%,65.0%,25.0%,45.0%,17.9%,31.6%,0.33
Carpet,2,1,1,50.0%,2-2,50.0%,19-22,46.3%,1-0,100.0%,0,,,,,,,,,,,
Grand Slams,17,6,11,35.3%,14-25,35.9%,170-205,45.3%,0-2,0.0%,4,-,-,4.3%,2.6%,53.9%,66.9%,44.3%,56.5%,34.5%,45.7%,0.79
Premiers,26,5,21,19.2%,16-42,27.6%,236-327,41.9%,4-5,44.4%,8,-,-,2.2%,2.6%,58.1%,55.2%,35.9%,47.1%,41.1%,44.2%,0.78
Internationals,30,10,20,33.3%,22-42,34.4%,278-328,45.9%,1-6,14.3%,2,-,-,0.0%,3.8%,59.5%,50.0%,47.2%,48.9%,45.8%,47.3%,0.89
Quarter-finals,3,0,3,0.0%,1-6,14.3%,30-43,41.1%,0-2,0.0%,0,,,,,,,,,,,
vs Righties,79,22,57,27.8%,55-118,31.8%,718-918,43.9%,6-14,30.0%,13,-,-,2.6%,2.9%,57.5%,57.1%,39.4%,49.6%,40.1%,44.9%,0.80
vs Lefties,4,1,3,25.0%,3-5,37.5%,39-41,48.8%,0-0,-,1,-,-,0.0%,0.0%,51.2%,61.9%,50.0%,56.1%,41.4%,50.0%,0.94
vs Top 10,3,0,3,0.0%,0-6,0.0%,15-37,28.8%,0-0,-,2,-,-,0.9%,1.9%,58.3%,50.8%,40.0%,46.3%,40.5%,43.3%,0.75
