Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,19,10,9,52.6%,2,0,2,0.0%,1977,1988,F,0,,,,,,,,,,
Roland Garros,12,Clay,17,4,13,23.5%,2,0,2,0.0%,1974,1990,R32,0,,,,,,,,,,
Wimbledon,20,Grass,35,15,20,42.9%,6,4,2,66.7%,1974,1993,R16,0,,,,,,,,,,
US Open,15,Hard,27,12,15,44.4%,5,4,1,80.0%,1974,1989,R16,0,,,,,,,,,,
Eastbourne,14,Grass,32,17,15,53.1%,7,4,3,57.1%,1974,1990,QF,0,,,,,,,,,,
Birmingham,10,Grass,28,18,10,64.3%,5,3,2,60.0%,1982,1992,F,0,,,,,,,,,,
Sydney,8,Grass,14,6,8,42.9%,5,1,4,20.0%,1977,1988,R16,0,,,,,,,,,,
Toronto,8,Hard,12,4,8,33.3%,6,3,3,50.0%,1976,1990,R16,0,,,,,,,,,,
Tokyo Japan Open,7,Hard,20,14,6,70.0%,5,3,2,60.0%,1979,1990,W,0,,,,,,,,,,
Atlanta,7,Hard,19,13,6,68.4%,3,1,2,33.3%,1974,1982,W,0,,,,,,,,,,
