Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,25,3265,,
2020,,,,,,,,,,,13,4920,,
2019,,,,,,,,,,,12,4270,17,1849
2018,,,,,,,,,,,35,2180,24,1804
2017,336,137,136,1630,134,1582,91,1646,82,1599,5,5550,7,1922
2016,147,417,113,1662,116,1608,92,1656,74,1610,13,4420,7,1882
2015,87,636,58,1778,53,1740,72,1709,50,1691,6,6685,5,1921
2014,95,575,50,1798,57,1739,59,1718,,,12,4370,13,1835
2013,33,1190,29,1872,25,1820,58,1727,35,1735,7,5030,7,1864
2012,72,695,56,1773,51,1747,99,1641,76,1625,31,2175,41,1717
2011,36,1065,61,1781,48,1748,98,1646,53,1664,93,830,85,1618
2010,88,586,89,1701,71,1695,127,1586,68,1611,185,382,,
2009,180,260,186,1559,141,1571,222,1474,176,1458,272,229,,
2008,422,73,336,1383,296,1372,312,1347,,,335,151,,
2007,300,125,306,1419,343,1325,260,1406,,,155,357,,
2006,404,80,,,,,,,,,316,168,,
2005,836,14,,,,,,,,,848,25,,
2004,1179,4,,,,,,,,,929,23,,
2003,944,7,,,,,,,,,,,,
