Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,551,350,201,63.5%,847-559,60.2%,7292-6187,54.1%,88-92,48.9%,534,78.4%,29.7%,3.9%,3.4%,62.3%,69.3%,52.8%,63.1%,41.3%,51.9%,1.12
Clay,478,337,141,70.5%,769-404,65.6%,6090-4790,56.0%,65-43,60.2%,459,75.5%,35.4%,2.7%,3.4%,63.2%,67.1%,51.8%,61.5%,43.8%,52.5%,1.14
Grass,70,44,26,62.9%,129-87,59.7%,1133-982,53.6%,17-20,45.9%,70,82.5%,24.6%,5.3%,3.0%,66.4%,71.3%,53.7%,65.4%,38.3%,51.8%,1.11
Carpet,20,9,11,45.0%,23-27,46.0%,229-236,49.2%,0-4,0.0%,16,76.1%,20.3%,5.8%,5.1%,60.5%,71.5%,47.9%,62.2%,36.7%,49.4%,0.97
Grand Slams,209,146,63,69.9%,476-263,64.4%,3911-3108,55.7%,49-47,51.0%,208,79.0%,32.3%,4.1%,3.3%,63.8%,69.6%,52.8%,63.5%,42.4%,52.7%,1.16
Masters,314,192,122,61.1%,415-311,57.2%,3685-3265,53.0%,45-50,47.4%,309,76.4%,29.6%,3.5%,3.4%,62.5%,68.3%,51.7%,62.0%,41.0%,51.4%,1.08
Other Tours,541,366,175,67.7%,777-445,63.6%,6333-5149,55.2%,66-57,53.7%,536,77.8%,32.2%,3.3%,3.4%,62.9%,68.4%,52.6%,62.6%,42.4%,52.4%,1.13
Best of 5,232,165,67,71.1%,535-289,64.9%,4373-3477,55.7%,57-52,52.3%,211,78.8%,32.2%,4.1%,3.3%,63.8%,69.5%,52.7%,63.4%,42.3%,52.6%,1.16
Best of 3,887,575,312,64.8%,1233-788,61.0%,10371-8718,54.3%,113-107,51.4%,868,77.1%,31.2%,3.4%,3.4%,62.6%,68.3%,52.3%,62.3%,41.8%,52.0%,1.11
Finals,52,27,25,51.9%,63-61,50.8%,597-587,50.4%,4-5,44.4%,52,71.4%,29.4%,3.2%,2.9%,63.9%,66.3%,47.8%,59.6%,40.4%,50.2%,1.00
Semi-finals,100,52,48,52.0%,120-118,50.4%,1175-1104,51.6%,13-21,38.2%,99,77.2%,25.8%,3.2%,3.2%,63.8%,68.2%,51.5%,62.1%,39.4%,50.8%,1.04
Quarter-finals,159,98,61,61.6%,221-167,57.0%,1944-1734,52.9%,19-24,44.2%,157,76.3%,29.4%,3.1%,3.1%,63.2%,67.1%,52.1%,61.6%,41.0%,51.3%,1.07
vs Righties,978,654,324,66.9%,1559-926,62.7%,12904-10578,55.0%,148-132,52.9%,940,77.8%,31.6%,3.5%,3.4%,62.9%,68.6%,52.7%,62.7%,42.0%,52.2%,1.13
vs Lefties,141,86,55,61.0%,209-151,58.1%,1840-1617,53.2%,22-27,44.9%,139,75.8%,30.4%,3.5%,3.6%,63.5%,68.5%,50.4%,61.9%,41.7%,51.6%,1.09
vs Top 10,178,54,124,30.3%,169-290,36.8%,2015-2409,45.5%,20-30,40.0%,170,67.2%,23.1%,2.9%,3.5%,62.2%,63.7%,47.8%,57.7%,37.8%,47.9%,0.90
