Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2019,,,89,1723,47,1761,40,1767,,,,,,
2018,125,460,36,1817,27,1800,26,1810,51,1675,,,,
2017,37,1290,29,1895,22,1855,15,1890,35,1729,550,90,,
2016,21,1785,23,1938,20,1898,14,1933,33,1763,,,,
2015,7,4305,9,2026,9,1978,7,2049,10,1864,373,180,,
2014,10,4045,7,2059,8,1995,4,2066,9,1896,571,90,,
2013,3,5800,6,2097,6,2033,3,2107,6,1931,,,,
2012,5,6505,5,2205,5,2130,4,2167,5,1989,349,180,81,1616
2011,5,4925,6,2104,6,2029,5,2081,10,1887,540,90,,
2010,7,3735,7,2038,10,1942,5,2035,9,1849,215,315,,
2009,17,1870,16,1958,18,1883,11,1956,18,1798,88,855,62,1653
2008,12,1695,16,1938,23,1836,7,1958,13,1810,289,190,107,1545
2007,5,2750,5,2059,5,2010,4,2002,21,1776,272,200,99,1537
2006,14,1475,24,1891,32,1793,12,1888,37,1704,140,385,92,1556
2005,14,1620,34,1851,33,1781,23,1832,73,1604,43,1130,69,1620
2004,49,790,74,1752,124,1586,41,1775,90,1575,171,280,116,1400
2003,71,515,67,1759,112,1607,54,1748,75,1602,144,340,115,1461
2002,59,643,57,1793,215,1463,33,1805,,,562,54,,
2001,209,179,289,1427,,,253,1416,,,533,61,,
2000,406,60,,,,,,,,,836,21,,
