Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Madrid Masters R32,L vs Zverev,5,17,0.3,5.3%,18.1%,5,15,0.3,6.0%,18.1%,2.4%,3.6%,0.6,14.9%,24.5%
2019 Madrid Masters R64,W vs Bautista Agut,30,47,0.6,14.9%,23.3%,28,43,0.7,14.8%,22.8%,12.2%,2.6%,0.5,11.9%,23.3%
2019 Barcelona R16,L vs Nadal,24,33,0.7,18.8%,25.8%,22,28,0.8,18.3%,23.3%,6.7%,11.7%,1.0,15.6%,15.6%
2019 Miami Masters R64,W vs Zverev,17,35,0.5,9.2%,19.0%,17,33,0.5,10.6%,20.5%,7.5%,3.1%,0.6,15.2%,26.6%
2019 Acapulco R16,L vs Zverev,3,29,0.1,2.5%,24.0%,3,27,0.1,2.9%,26.0%,2.9%,0.0%,0.9,21.5%,24.8%
2018 Monterrey CH F,W vs Karlovic,22,4,5.5,18.3%,3.3%,18,1,18.0,17.6%,1.0%,10.8%,6.9%,1.6,23.3%,15.0%
2018 US Open R128,L vs Nadal,16,24,0.7,15.7%,23.5%,15,20,0.8,16.3%,21.7%,12.0%,2.2%,0.7,15.7%,21.6%
2018 Wimbledon R128,L vs Khachanov,26,30,0.9,10.7%,12.4%,23,23,1.0,10.9%,10.9%,7.1%,2.8%,1.1,21.1%,19.0%
2018 Roland Garros R128,L vs Munar,74,69,1.1,20.0%,18.6%,74,69,1.1,21.1%,19.7%,,,1.1,12.7%,11.6%
2018 Davis Cup RR,W vs Kohlschreiber,44,53,0.8,11.9%,14.3%,44,47,0.9,12.5%,13.3%,8.2%,4.2%,0.8,16.4%,19.4%
2018 Davis Cup RR,L vs Zverev,11,41,0.3,7.1%,26.5%,11,31,0.4,8.0%,22.6%,5.8%,2.2%,0.8,18.1%,21.3%
2018 Miami Masters R32,L vs Zverev,11,28,0.4,7.6%,19.3%,10,21,0.5,7.8%,16.3%,6.2%,1.6%,0.7,17.2%,24.1%
2018 Indian Wells Masters R32,L vs Del Potro,13,24,0.5,8.7%,16.0%,9,23,0.4,6.6%,16.8%,4.4%,2.2%,0.8,18.7%,23.3%
2018 Acapulco R16,L vs Del Potro,20,25,0.8,11.1%,13.9%,20,24,0.8,12.2%,14.6%,9.8%,2.4%,1.0,18.9%,19.4%
2018 Rotterdam R32,L vs Zverev,9,28,0.3,6.9%,21.5%,9,24,0.4,7.4%,19.8%,5.0%,1.7%,0.6,12.3%,20.0%
2018 Australian Open R128,L vs Rublev,29,51,0.6,8.4%,14.8%,29,51,0.6,9.6%,16.8%,,,0.8,18.6%,22.1%
2017 Paris Masters R64,L vs Mannarino,13,44,0.3,9.7%,32.8%,10,36,0.3,8.4%,30.3%,4.2%,3.4%,0.6,7.5%,12.7%
2017 Cincinnati Masters SF,L vs Kyrgios,30,23,1.3,17.5%,13.5%,29,18,1.6,19.7%,12.2%,10.2%,8.8%,1.3,22.2%,17.5%
2017 Canada Masters R16,L vs Federer,15,37,0.4,8.0%,19.8%,14,31,0.5,8.5%,18.9%,4.9%,3.0%,0.8,17.6%,23.5%
2017 Bastad F,W vs Dolgopolov,11,16,0.7,7.9%,11.4%,8,14,0.6,6.2%,10.9%,5.4%,0.8%,0.8,20.7%,27.1%
Career (224 matches),,5423,6338,0.9,13.4%,15.7%,4714,5656,0.8,12.7%,15.2%,5.8%,2.4%,0.8,16.3%,20.8%
