Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 Wimbledon R32,L vs Paire,113.1,122.7,11.7,126.9,114.5,136,101,102.2,5.0,103.8,103.3,113,92
2017 Wimbledon R64,W vs Pouille,112.6,120.1,12.7,122.4,109.6,137,98,98.5,7.8,104.6,95.3,113,80
2017 Roland Garros R128,L vs Daniel,109.9,117.0,16.4,,,137,77,93.7,7.7,,,108,79
2017 Australian Open R128,L vs Cilic,112.9,123.5,14.0,125.7,122.9,139,88,88.8,8.7,89.8,87.4,108,70
2016 US Open R128,L vs Djokovic,111.3,117.7,14.0,123.1,108.9,141,87,101.5,7.6,106.1,105.0,112,83
2016 Australian Open R128,L vs Isner,113.9,121.7,13.5,,,139,92,98.1,4.9,,,107,84
2015 Roland Garros R128,W vs Hamou,114.7,120.0,12.0,,,136,95,102.6,6.2,,,113,90
2015 Australian Open R32,L vs Lopez,113.7,119.7,12.6,,,138,98,102.0,8.7,,,114,63
2015 Australian Open R64,W vs Monfils,116.6,122.1,11.8,,,137,98,100.7,5.9,,,113,89
2014 US Open R64,L vs Anderson,111.4,118.0,13.5,,,141,95,99.0,6.2,,,111,86
2014 US Open R128,W vs Lajovic,115.0,121.5,13.4,,,140,98,101.5,7.4,,,116,85
2014 Wimbledon R64,W vs Hewitt,110.5,117.3,11.1,,,134,85,96.4,9.0,,,124,79
2014 Roland Garros R32,L vs Tsonga,113.3,123.1,13.1,,,138,87,96.7,8.6,,,110,81
2014 Roland Garros R64,W vs Nieminen,112.8,119.9,13.8,,,140,89,97.0,6.4,,,109,83
2014 Roland Garros R128,W vs Estrella,112.0,119.7,13.2,,,140,78,94.9,10.1,,,115,78
2014 Australian Open R32,L vs Mayer,106.1,,,,,136,,,,,,,67
2014 Australian Open R64,W vs Andujar,115.2,,,,,139,,,,,,,76
2014 Australian Open R128,W vs Thompson,115.4,,,,,140,,,,,,,80
2013 US Open R128,L vs Gonzalez,102.4,,,,,132,,,,,,,72
2013 Wimbledon SF,L vs Murray,120.4,,,,,143,,,,,,,95
Career (31 matches),,113.6,120.2,13.0,124.5,114.1,143,77,98.4,7.4,101.4,93.6,124,60
