Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2020 Pau CH F,L vs Gulbis,48.1%,28.0%,9.6%,3/2,2.48,11.5%,43.3%,23.1%,13.3%,2.44,18.8%,66.7%,33.3%,5.6%,2.55,0.0%
2015 Stuttgart R32,W vs Brown,65.3%,53.0%,5.0%,2/3,2.31,36.5%,67.5%,50.0%,2.6%,2.27,44.0%,73.7%,64.3%,15.8%,2.50,7.7%
2015 Miami R32,L vs Goffin,71.4%,37.5%,3.6%,2/0,2.17,5.0%,81.6%,32.3%,0.0%,2.38,10.0%,75.0%,55.6%,16.7%,1.98,0.0%
2015 Indian Wells R128,L vs Schwartzman,69.9%,47.2%,2.9%,1/2,2.33,25.0%,68.6%,42.9%,2.0%,2.12,40.5%,78.7%,51.4%,4.3%,2.65,0.0%
2015 Montpellier F,L vs Gasquet,25.0%,0.0%,12.5%,0/1,-,60.0%,28.6%,0.0%,14.3%,-,33.3%,0.0%,-,0.0%,-,100.0%
2015 Montpellier QF,W vs Simon,78.8%,58.5%,3.8%,1/1,2.43,26.3%,76.7%,56.5%,6.7%,2.58,34.6%,85.7%,61.1%,0.0%,2.13,8.3%
2015 Sydney R32,W vs Kyrgios,61.6%,42.6%,5.1%,3/2,2.03,13.3%,54.5%,44.4%,3.0%,1.89,21.1%,78.1%,40.0%,9.4%,2.27,0.0%
2014 Canada R64,L vs Polansky,60.0%,45.2%,2.9%,1/1,1.97,5.9%,61.9%,38.5%,2.4%,1.91,5.9%,64.0%,56.3%,4.0%,2.03,5.9%
2013 Wimbledon SF,L vs Murray,56.6%,43.8%,1.8%,2/0,1.77,54.2%,50.6%,47.5%,0.0%,1.62,89.1%,72.7%,37.5%,6.1%,1.96,10.8%
2013 Rome QF,L vs Federer,63.6%,42.9%,4.5%,2/1,2.39,65.2%,60.0%,46.7%,4.0%,2.50,66.7%,75.0%,33.3%,6.3%,2.24,63.2%
2013 Indian Wells R32,L vs Gasquet,70.0%,31.4%,6.0%,3/0,2.15,55.9%,68.8%,18.2%,3.1%,2.42,58.3%,81.3%,53.8%,12.5%,2.00,54.5%
2012 Paris SF,W vs Simon,66.7%,52.4%,0.0%,0/0,2.45,30.0%,58.6%,47.1%,0.0%,2.41,47.4%,78.1%,56.0%,0.0%,2.50,0.0%
2012 Paris QF,W vs Tipsarevic,76.6%,52.5%,2.6%,0/2,2.35,11.1%,71.8%,42.9%,2.6%,2.19,16.7%,88.6%,61.3%,2.9%,2.50,5.6%
2012 Paris F,L vs Ferrer,66.7%,38.6%,0.0%,0/0,2.27,25.8%,71.2%,37.8%,0.0%,2.22,33.3%,58.3%,42.9%,0.0%,2.35,15.4%
Career (14 matches),,65.1%,45.2%,3.6%,57.1%,2.19,30.9%,63.0%,41.8%,2.7%,2.16,41.8%,76.2%,50.6%,5.6%,2.24,15.1%
