Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2020 Pau CH F,L vs Gulbis,49.1%,52.8%,33.3%,51.1%,55.3%,57.9%,23.5%,58.2%,61.1%,40.0%,25.0%,33.3%,40.0%,50.0%,-79
2015 Stuttgart R32,W vs Brown,36.3%,53.1%,50.8%,45.9%,42.5%,62.1%,54.0%,55.1%,58.1%,25.0%,0.0%,23.5%,35.3%,38.5%,65
2015 Miami R32,L vs Goffin,28.3%,36.7%,32.5%,32.8%,42.9%,51.4%,35.0%,50.6%,33.3%,23.5%,0.0%,9.1%,18.2%,30.0%,-30
2015 Indian Wells R128,L vs Schwartzman,33.0%,49.5%,50.0%,40.2%,37.3%,54.2%,48.6%,49.8%,50.0%,22.6%,100.0%,34.3%,54.3%,52.2%,182
2015 Montpellier F,L vs Gasquet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,-118
2015 Montpellier QF,W vs Simon,32.8%,45.3%,55.3%,41.1%,38.1%,54.8%,65.4%,50.7%,50.0%,45.0%,50.0%,29.4%,35.3%,33.3%,148
2015 Sydney R32,W vs Kyrgios,41.6%,57.5%,61.7%,50.0%,50.6%,67.5%,65.8%,63.0%,25.0%,8.9%,50.0%,26.7%,43.3%,54.5%,126
2014 Canada R64,L vs Polansky,35.3%,45.6%,58.8%,40.6%,52.8%,69.4%,70.6%,62.8%,35.3%,21.1%,-,22.7%,27.3%,47.1%,54
2013 Wimbledon SF,L vs Murray,26.9%,42.3%,54.8%,37.8%,34.7%,54.2%,61.7%,54.4%,44.7%,52.9%,33.3%,21.3%,34.0%,45.9%,72
2013 Rome QF,L vs Federer,31.5%,43.8%,47.8%,38.2%,38.6%,50.0%,48.1%,49.8%,29.4%,25.9%,0.0%,24.0%,40.0%,47.4%,109
2013 Indian Wells R32,L vs Gasquet,23.9%,43.5%,47.1%,29.6%,36.8%,57.9%,50.0%,50.5%,50.0%,44.4%,0.0%,15.4%,34.6%,45.5%,-23
2012 Paris SF,W vs Simon,44.8%,58.6%,61.3%,55.2%,50.0%,65.0%,65.0%,65.0%,50.0%,50.0%,-,35.3%,47.1%,54.5%,5
2012 Paris QF,W vs Tipsarevic,36.5%,47.6%,63.9%,43.3%,48.6%,62.9%,55.6%,60.9%,45.0%,13.3%,-,25.0%,33.3%,72.2%,118
2012 Paris F,L vs Ferrer,34.5%,48.3%,45.2%,39.8%,45.5%,60.6%,44.4%,54.8%,66.7%,33.3%,0.0%,27.8%,44.4%,46.2%,111
Career (14 matches),,34.5%,48.1%,51.3%,42.0%,43.5%,59.0%,54.0%,55.7%,45.8%,30.2%,21.2%,24.6%,37.5%,47.3%,106
