Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,10,5,5,50.0%,12-11,52.2%,105-113,48.2%,2-1,66.7%,10,78.3%,18.3%,11.2%,2.8%,64.2%,70.3%,49.4%,62.8%,35.6%,49.3%,0.96,QF (2x)
2020,10,7,3,70.0%,14-7,66.7%,122-103,54.2%,2-4,33.3%,9,92.7%,16.5%,19.8%,3.3%,69.6%,80.3%,52.0%,71.7%,34.7%,52.4%,1.22,F (Pau)
2017,34,22,12,64.7%,51-27,65.4%,443-362,55.0%,9-13,40.9%,34,90.9%,18.9%,13.3%,4.9%,58.6%,81.8%,53.3%,70.0%,34.8%,52.2%,1.16,W (Bergamo)
2016,14,9,5,64.3%,22-13,62.9%,198-170,53.8%,4-4,50.0%,14,85.0%,22.8%,7.8%,5.1%,63.4%,72.9%,51.4%,65.1%,36.9%,51.1%,1.06,W (Genova)
2015,7,5,2,71.4%,11-7,61.1%,90-81,52.6%,1-1,50.0%,7,77.4%,28.2%,9.5%,7.1%,57.3%,77.5%,45.3%,63.7%,39.6%,51.3%,1.09,F (Orleans)
2012,42,33,9,78.6%,68-30,69.4%,543-438,55.4%,9-7,56.3%,41,87.1%,24.4%,11.4%,4.2%,64.4%,78.2%,55.0%,69.9%,38.1%,53.1%,1.27,W (3x)
2011,36,18,18,50.0%,43-41,51.2%,433-414,51.1%,6-13,31.6%,36,85.1%,17.7%,10.8%,4.3%,63.7%,75.4%,52.6%,67.2%,34.6%,50.5%,1.05,F (Poznan)
2010,26,17,9,65.4%,38-25,60.3%,336-316,51.5%,14-5,73.7%,24,84.1%,17.1%,10.9%,3.8%,61.7%,75.9%,51.6%,66.6%,34.7%,50.9%,1.04,W (St. Remy)
2009,19,7,12,36.8%,21-24,46.7%,228-237,49.0%,7-5,58.3%,0,,,,,,,,,,,,SF (Poznan)
2008,8,4,4,50.0%,8-10,44.4%,79-88,47.3%,1-0,100.0%,0,,,,,,,,,,,,SF (Szczecin)
Career,206,127,79,61.7%,288-195,59.6%,2577-2322,52.6%,55-53,50.9%,175,86.3%,20.3%,11.6%,4.4%,62.7%,77.1%,52.5%,67.9%,35.9%,51.6%,1.12,
