Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2020 Pau CH F,L vs Gulbis,0.0%,-,4.8%,40.0%,10.5%,8.3%,0.0%,8.0%,0.0%,0.9%,0.0%,54,86
2015 Stuttgart R32,W vs Brown,0.0%,-,11.2%,58.3%,30.2%,37.5%,0.0%,27.3%,25.0%,1.6%,100.0%,88,94
2015 Miami R32,L vs Goffin,0.0%,-,6.9%,50.0%,7.6%,16.7%,20.0%,4.4%,11.1%,4.5%,11.1%,-77,-43
2015 Indian Wells R128,L vs Schwartzman,0.0%,-,7.8%,37.5%,20.5%,22.9%,14.3%,4.4%,16.7%,2.4%,57.1%,41,74
2015 Montpellier F,L vs Gasquet,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,269,67
2015 Montpellier QF,W vs Simon,0.0%,-,9.5%,81.8%,14.3%,23.8%,33.3%,16.1%,40.0%,1.7%,75.0%,49,78
2015 Sydney R32,W vs Kyrgios,1.0%,100.0%,8.5%,77.8%,26.5%,28.6%,0.0%,16.3%,30.0%,2.7%,50.0%,132,159
2014 Canada R64,L vs Polansky,1.6%,100.0%,8.7%,75.0%,14.0%,22.9%,25.0%,3.8%,25.0%,2.8%,66.7%,94,153
2013 Wimbledon SF,L vs Murray,2.5%,100.0%,15.6%,60.5%,21.2%,29.3%,13.3%,6.8%,9.1%,8.9%,29.6%,52,79
2013 Rome QF,L vs Federer,0.0%,-,12.9%,66.7%,13.0%,19.0%,0.0%,20.0%,42.9%,3.6%,16.7%,74,64
2013 Indian Wells R32,L vs Gasquet,0.0%,-,15.6%,60.0%,23.1%,44.4%,0.0%,10.5%,16.7%,7.4%,18.2%,117,88
2012 Paris SF,W vs Simon,2.2%,100.0%,14.0%,76.5%,27.7%,50.0%,20.0%,0.0%,0.0%,10.7%,44.4%,170,191
2012 Paris QF,W vs Tipsarevic,0.0%,-,7.1%,50.0%,26.8%,53.3%,0.0%,8.3%,25.0%,5.5%,50.0%,59,65
2012 Paris F,L vs Ferrer,2.1%,100.0%,11.3%,71.4%,19.0%,8.3%,28.6%,8.3%,14.3%,7.6%,14.3%,131,179
Career (14 matches),,0.8%,100.0%,10.4%,63.1%,19.3%,27.5%,16.9%,9.8%,23.4%,4.7%,36.3%,72,95
