Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Beijing R64,L vs Andreeva,8,20,0.4,7.8%,19.4%,8,20,0.4,8.0%,20.0%,7.0%,1.0%,1.2,21.4%,17.5%
2024 Wimbledon R32,L vs Sun,15,17,0.9,8.1%,9.2%,13,16,0.8,7.9%,9.8%,6.1%,1.8%,1.5,23.2%,15.7%
2024 Wimbledon R64,W vs Pavlyuchenkova,20,7,2.9,15.9%,5.6%,17,7,2.4,14.4%,5.9%,9.3%,4.2%,1.0,23.8%,24.6%
2024 Wimbledon R128,W vs Begu,14,15,0.9,14.7%,15.8%,14,15,0.9,15.1%,16.1%,9.7%,5.4%,0.4,10.5%,24.2%
2024 Indian Wells R128,L vs Wozniacki,17,46,0.4,12.5%,33.8%,17,43,0.4,13.1%,33.1%,8.5%,4.6%,0.8,12.5%,16.2%
2024 Doha R32,L vs Rybakina,12,19,0.6,13.5%,21.3%,11,17,0.6,14.1%,21.8%,10.3%,3.8%,1.2,23.6%,20.2%
2024 Hua Hin F,L vs Shnaider,21,29,0.7,15.0%,20.7%,21,29,0.7,15.2%,21.0%,7.2%,8.0%,0.9,14.3%,15.7%
2024 Hobart R16,W vs Dolehide,18,25,0.7,10.0%,13.9%,15,23,0.7,8.8%,13.5%,4.7%,2.3%,1.0,20.0%,19.4%
2024 Brisbane R16,L vs Sabalenka,7,10,0.7,7.6%,10.9%,6,6,1.0,7.9%,7.9%,3.9%,3.9%,2.7,41.3%,15.2%
2023 Zhuhai SF,L vs Zheng,26,38,0.7,12.0%,17.6%,25,33,0.8,12.9%,17.0%,7.2%,5.7%,1.1,19.0%,16.7%
2023 Osaka F,L vs Krueger,13,20,0.7,10.2%,15.7%,10,17,0.6,9.0%,15.3%,8.1%,0.9%,1.1,22.0%,19.7%
2023 US Open R32,L vs Bencic,28,46,0.6,13.6%,22.3%,26,44,0.6,13.3%,22.4%,9.2%,4.1%,0.6,16.0%,25.7%
2023 US Open R64,W vs Azarenka,14,15,0.9,10.9%,11.7%,12,14,0.9,10.5%,12.3%,4.4%,6.1%,0.5,13.3%,24.2%
2023 US Open R128,W vs Sherif,16,23,0.7,13.8%,19.8%,13,23,0.6,12.0%,21.3%,6.5%,5.6%,0.6,13.8%,25.0%
2023 Wimbledon R128,L vs Swiatek,7,17,0.4,6.9%,16.7%,6,17,0.4,6.1%,17.3%,3.1%,3.1%,1.4,21.6%,15.7%
2023 Roland Garros R128,L vs Davis,17,28,0.6,14.9%,24.6%,15,25,0.6,14.3%,23.8%,7.6%,6.7%,1.1,16.7%,14.9%
2023 Madrid R128,L vs Marino,11,23,0.5,7.2%,15.0%,11,18,0.6,8.2%,13.4%,3.7%,4.5%,1.0,19.6%,19.0%
2023 Hua Hin F,W vs Tsurenko,21,36,0.6,16.5%,28.3%,19,35,0.5,15.7%,28.9%,5.8%,9.9%,0.3,7.1%,22.8%
2023 Hua Hin SF,W vs Wang,18,23,0.8,13.8%,17.7%,16,19,0.8,13.3%,15.8%,5.8%,7.5%,0.4,9.2%,24.6%
2023 Australian Open R16,L vs Azarenka,42,32,1.3,20.8%,15.8%,40,30,1.3,20.9%,15.7%,8.9%,12.0%,1.2,19.8%,16.8%
Career (42 matches),,734,1073,0.7,12.5%,18.3%,691,985,0.7,12.7%,18.1%,6.2%,4.0%,0.9,17.2%,19.1%
