Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Beijing R64,L vs Andreeva,17.2%,17.2%,35.4%,22.5%,22.5%,38.7%,45.8%,25.0%,20.0%,5.6%,5.6%,29.4%,60.0%,30.8%,33.3%,-104
2024 Indian Wells R128,L vs Wozniacki,11.5%,24.4%,42.4%,17.9%,38.5%,46.9%,78.9%,25.0%,0.0%,5.6%,11.1%,38.2%,56.3%,20.0%,-,-60
2024 Doha R32,L vs Rybakina,10.6%,19.1%,45.0%,7.1%,21.4%,50.0%,53.3%,23.1%,0.0%,17.6%,17.6%,35.7%,50.0%,63.6%,66.7%,23
2024 Hua Hin F,L vs Shnaider,14.7%,29.4%,46.6%,27.3%,51.5%,62.5%,64.3%,52.6%,0.0%,2.9%,8.6%,35.3%,87.5%,10.5%,0.0%,-104
2024 Hobart R16,W vs Dolehide,32.1%,41.7%,50.9%,40.4%,49.1%,55.9%,57.1%,24.1%,0.0%,16.0%,28.0%,42.9%,9.1%,42.9%,75.0%,-14
2024 Brisbane R16,L vs Sabalenka,13.2%,15.8%,24.1%,19.0%,23.8%,41.2%,36.4%,30.0%,0.0%,7.7%,7.7%,0.0%,0.0%,33.3%,66.7%,-51
2023 Zhuhai SF,L vs Zheng,16.4%,26.4%,45.3%,18.6%,31.4%,52.6%,48.5%,32.4%,33.3%,14.7%,20.6%,31.0%,0.0%,66.7%,100.0%,29
2023 Osaka F,L vs Krueger,25.4%,33.3%,59.1%,17.5%,30.0%,63.6%,36.8%,52.4%,-,45.0%,45.0%,45.5%,42.9%,46.2%,0.0%,53
2023 Wimbledon R128,L vs Swiatek,17.0%,18.9%,34.1%,13.3%,16.7%,38.5%,28.6%,12.5%,25.0%,21.7%,21.7%,27.8%,15.4%,70.0%,75.0%,-104
2023 Roland Garros R128,L vs Davis,9.5%,15.9%,35.2%,12.8%,19.1%,34.1%,60.0%,51.9%,60.0%,0.0%,7.7%,38.5%,11.1%,75.0%,100.0%,-119
2023 Madrid R128,L vs Marino,21.4%,30.0%,50.0%,24.5%,34.0%,50.0%,58.3%,37.9%,0.0%,16.7%,25.0%,50.0%,0.0%,80.0%,-,17
2023 Hua Hin F,W vs Tsurenko,14.7%,16.2%,36.8%,19.0%,21.4%,41.2%,47.6%,23.8%,33.3%,8.0%,8.0%,30.4%,0.0%,41.7%,0.0%,-57
2023 Hua Hin SF,W vs Wang,22.6%,29.0%,52.3%,25.0%,35.0%,56.7%,70.6%,39.1%,0.0%,22.2%,22.2%,42.9%,20.0%,12.5%,0.0%,90
2023 Australian Open R16,L vs Azarenka,11.0%,22.0%,49.4%,9.9%,23.9%,51.6%,47.1%,21.6%,18.2%,14.8%,18.5%,43.5%,21.4%,15.4%,0.0%,-21
2023 Australian Open R32,W vs Sakkari,18.2%,25.0%,46.5%,13.3%,21.7%,46.2%,51.9%,33.3%,33.3%,29.6%,33.3%,47.4%,33.3%,60.0%,50.0%,-61
2022 Monastir R32,L vs Papamichail,7.5%,11.8%,46.3%,11.1%,16.7%,56.3%,65.0%,29.4%,30.0%,3.0%,6.1%,31.3%,5.0%,0.0%,0.0%,-89
2022 Melbourne R16,L vs Tauson,11.9%,14.3%,27.0%,11.5%,15.4%,39.1%,45.5%,33.3%,33.3%,12.5%,12.5%,7.1%,25.0%,37.5%,100.0%,-104
2020 Hua Hin R16,L vs Kung,22.0%,26.0%,29.7%,27.6%,27.6%,28.6%,75.0%,38.5%,33.3%,15.8%,26.3%,31.3%,22.2%,40.0%,100.0%,11
2019 Wimbledon R128,L vs Pliskova,23.7%,35.5%,43.9%,22.2%,38.9%,42.9%,60.7%,15.4%,20.0%,28.6%,28.6%,46.7%,16.7%,13.3%,0.0%,-49
2019 Strasbourg R32,L vs Sabalenka,6.7%,6.7%,15.4%,5.0%,5.0%,21.1%,27.3%,22.2%,25.0%,12.5%,12.5%,0.0%,20.0%,66.7%,-,-4
Last 52 Weeks (1 matches),,17.2%,17.2%,35.4%,22.5%,22.5%,38.7%,45.8%,25.0%,20.0%,5.6%,5.6%,29.4%,60.0%,30.8%,33.3%,-104
Career (25 matches),,18.1%,25.6%,42.9%,20.8%,30.7%,47.7%,50.6%,33.8%,31.0%,14.9%,18.6%,34.1%,23.4%,36.0%,39.6%,32
