Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Beijing R64,L vs Andreeva,68.9%,38.7%,4.4%,1/1,2.53,10.4%,69.2%,16.7%,0.0%,2.36,12.9%,76.5%,69.2%,11.8%,2.84,5.9%
2024 Indian Wells R128,L vs Wozniacki,82.8%,43.8%,3.4%,1/1,2.45,7.6%,80.0%,34.4%,0.0%,2.48,12.5%,88.9%,62.5%,11.1%,2.41,2.9%
2024 Doha R32,L vs Rybakina,50.0%,38.1%,7.1%,2/1,2.53,5.0%,46.7%,28.6%,10.0%,2.52,7.7%,63.6%,57.1%,0.0%,2.54,0.0%
2024 Hua Hin F,L vs Shnaider,77.8%,48.2%,2.8%,1/1,2.43,12.1%,75.0%,56.7%,2.5%,2.36,29.2%,83.9%,38.5%,3.2%,2.47,0.0%
2024 Hobart R16,W vs Dolehide,72.9%,48.6%,5.2%,4/1,2.49,27.3%,73.2%,51.9%,4.2%,2.46,41.2%,78.3%,38.9%,8.7%,2.54,4.8%
2024 Brisbane R16,L vs Sabalenka,64.8%,48.6%,9.3%,4/1,2.89,3.4%,54.8%,41.2%,6.5%,2.78,5.9%,85.7%,55.6%,14.3%,3.05,0.0%
2023 Zhuhai SF,L vs Zheng,67.3%,56.8%,4.5%,2/3,2.39,5.8%,56.7%,47.1%,5.0%,2.58,8.8%,88.9%,65.0%,4.4%,2.02,0.0%
2023 Osaka F,L vs Krueger,68.8%,29.5%,4.7%,1/2,2.58,15.9%,66.7%,30.8%,0.0%,2.46,21.2%,81.8%,27.8%,13.6%,2.93,0.0%
2023 Wimbledon R128,L vs Swiatek,79.6%,35.9%,14.3%,2/5,2.64,4.8%,83.3%,36.0%,6.7%,2.60,8.3%,82.4%,35.7%,29.4%,2.70,0.0%
2023 Roland Garros R128,L vs Davis,80.4%,53.7%,0.0%,0/0,2.44,1.9%,82.4%,46.4%,0.0%,2.45,2.4%,86.7%,69.2%,0.0%,2.42,0.0%
2023 Madrid R128,L vs Marino,71.1%,49.2%,6.0%,2/3,2.62,2.0%,64.8%,42.9%,5.6%,2.57,2.5%,88.9%,58.3%,7.4%,2.82,0.0%
2023 Hua Hin F,W vs Tsurenko,91.5%,61.1%,6.8%,3/1,2.52,1.8%,97.4%,63.2%,10.3%,2.64,0.0%,94.1%,56.3%,0.0%,2.34,4.3%
2023 Hua Hin SF,W vs Wang,83.8%,61.4%,5.9%,4/0,2.79,2.3%,84.2%,75.0%,0.0%,2.59,3.3%,96.2%,44.0%,15.4%,3.21,0.0%
2023 Australian Open R16,L vs Azarenka,78.4%,51.2%,5.9%,4/2,2.35,7.0%,76.6%,38.8%,7.8%,2.42,9.5%,91.2%,71.0%,2.9%,2.15,0.0%
2023 Australian Open R32,W vs Sakkari,81.8%,50.0%,3.6%,3/1,2.53,0.0%,83.8%,50.0%,0.0%,2.58,0.0%,93.3%,50.0%,13.3%,2.38,0.0%
2022 Monastir R32,L vs Papamichail,79.2%,47.4%,1.4%,0/1,2.52,0.0%,86.7%,38.5%,0.0%,2.71,0.0%,78.3%,66.7%,4.3%,2.20,0.0%
2022 Melbourne R16,L vs Tauson,65.0%,30.8%,27.5%,6/5,2.63,0.0%,60.6%,30.0%,9.1%,2.73,0.0%,85.7%,33.3%,1.14,2.46,0.0%
2020 Hua Hin R16,L vs Kung,66.7%,50.0%,0.0%,0/0,2.66,10.8%,65.0%,53.8%,0.0%,2.57,19.0%,76.9%,40.0%,0.0%,2.79,0.0%
2019 Wimbledon R128,L vs Pliskova,69.0%,40.0%,13.8%,6/2,2.52,1.8%,59.5%,31.8%,8.1%,2.51,2.4%,94.7%,50.0%,26.3%,2.55,0.0%
2019 Strasbourg R32,L vs Sabalenka,64.9%,41.7%,18.9%,3/4,2.68,3.8%,66.7%,33.3%,14.8%,2.74,5.3%,66.7%,66.7%,33.3%,2.54,0.0%
Last 52 Weeks (1 matches),,68.9%,38.7%,4.4%,50.0%,2.53,10.4%,69.2%,16.7%,0.0%,2.36,12.9%,76.5%,69.2%,11.8%,2.84,5.9%
Career (25 matches),,73.6%,50.1%,7.1%,56.5%,2.52,5.8%,72.5%,46.8%,4.4%,2.51,8.2%,83.8%,55.8%,13.3%,2.54,1.2%
