Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,16,5,11,31.3%,15-27,35.7%,178-218,44.9%,2-3,40.0%,16,73.0%,16.8%,3.5%,5.3%,64.5%,67.5%,46.5%,60.1%,35.2%,47.8%,0.88
Clay,33,16,17,48.5%,43-40,51.8%,416-391,51.5%,5-10,33.3%,33,77.4%,26.0%,4.2%,4.2%,62.8%,68.0%,52.9%,62.3%,39.3%,50.7%,1.04
Grass,1,0,1,0.0%,0-3,0.0%,13-20,39.4%,0-0,-,1,52.9%,25.0%,2.8%,6.5%,64.8%,54.3%,44.7%,50.9%,31.3%,42.6%,0.64
Grand Slams,8,2,6,25.0%,10-18,35.7%,120-141,46.0%,0-2,0.0%,8,72.5%,19.2%,3.3%,5.0%,62.2%,66.7%,47.8%,59.6%,35.2%,47.7%,0.87
Masters,4,0,4,0.0%,2-8,20.0%,37-57,39.4%,1-0,100.0%,4,69.6%,8.5%,3.9%,3.9%,66.4%,64.5%,53.2%,60.7%,30.9%,45.6%,0.79
Other Tours,38,19,19,50.0%,46-44,51.1%,450-431,51.1%,6-11,35.3%,38,76.7%,25.7%,4.1%,4.6%,63.4%,68.0%,51.2%,61.8%,39.3%,50.5%,1.03
Best of 5,8,2,6,25.0%,10-18,35.7%,120-141,46.0%,0-2,0.0%,8,72.5%,19.2%,3.3%,5.0%,62.2%,66.7%,47.8%,59.6%,35.2%,47.7%,0.87
Best of 3,42,19,23,45.2%,48-52,48.0%,487-488,49.9%,7-11,38.9%,42,76.0%,24.0%,4.1%,4.5%,63.7%,67.6%,51.4%,61.7%,38.5%,50.1%,1.01
Finals,1,1,0,100.0%,2-0,100.0%,12-7,63.2%,0-0,-,1,100.0%,22.2%,2.9%,2.9%,74.3%,73.1%,61.1%,70.0%,37.0%,55.6%,1.23
Semi-finals,2,1,1,50.0%,2-1,66.7%,13-11,54.2%,0-0,-,2,64.3%,33.3%,5.0%,3.8%,66.3%,62.3%,48.1%,57.5%,41.1%,49.7%,0.97
Quarter-finals,5,2,3,40.0%,5-7,41.7%,53-62,46.1%,0-2,0.0%,5,73.2%,21.1%,3.7%,3.7%,63.7%,70.4%,45.7%,61.4%,38.4%,49.4%,1.00
vs Righties,39,18,21,46.2%,47-53,47.0%,473-492,49.0%,7-9,43.8%,39,74.9%,23.1%,3.9%,4.7%,63.2%,67.5%,49.7%,60.9%,38.1%,49.6%,0.97
vs Lefties,11,3,8,27.3%,11-17,39.3%,134-137,49.4%,0-4,0.0%,11,76.5%,22.6%,4.0%,4.3%,63.9%,67.4%,54.1%,62.6%,36.8%,49.6%,0.98
vs Top 10,1,0,1,0.0%,1-2,33.3%,15-17,46.9%,0-1,0.0%,1,73.3%,25.0%,1.2%,3.5%,61.2%,78.8%,51.5%,68.2%,36.5%,50.8%,1.15
