Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),222,255,210,1560,242,1473,156,1562,217,1416,,,,
2025,212,275,190,1576,209,1503,153,1570,207,1424,,,,
2024,79,714,133,1659,226,1480,67,1696,184,1474,,,,
2023,95,668,94,1701,198,1497,71,1686,143,1505,,,,
2022,191,291,255,1487,377,1271,218,1479,210,1413,,,,
2021,338,144,359,1297,356,1181,329,1308,,,,,,
2020,403,98,,,,,,,,,1150,18,,
2019,502,58,,,,,,,,,1117,18,,
2018,574,5,,,,,,,,,,,,
2017,1781,1,,,,,,,,,,,,
