Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,1558,2,,,,,,,,,,,,
2020,1345,3,,,,,,,,,35,2735,,
2019,1310,3,,,,,,,,,36,2445,47,1729
2018,288,133,106,1681,78,1678,97,1628,86,1601,134,575,85,1621
2017,186,271,98,1697,78,1685,99,1638,76,1613,214,297,,
2016,306,158,95,1694,89,1665,101,1640,,,162,462,,
2015,155,367,108,1684,91,1660,96,1633,69,1636,107,725,55,1679
2014,113,505,69,1755,64,1716,66,1702,44,1695,35,1950,30,1767
2013,27,1315,54,1787,44,1771,68,1701,40,1716,51,1430,39,1728
2012,29,1177,45,1809,43,1761,37,1796,40,1718,26,2400,33,1734
2011,33,1170,35,1862,39,1797,22,1850,25,1776,13,4260,23,1776
2010,11,2785,12,1968,13,1904,17,1907,13,1816,8,4410,21,1764
2009,28,1260,33,1876,30,1825,31,1807,28,1752,26,2520,15,1804
2008,34,939,42,1827,39,1784,46,1759,47,1696,46,1134,34,1727
2007,60,590,62,1768,59,1710,44,1748,60,1638,53,1030,29,1743
2006,41,865,44,1816,50,1737,39,1787,41,1686,22,1840,20,1748
2005,52,690,65,1768,67,1697,57,1731,59,1654,28,1530,44,1679
2004,39,920,41,1825,39,1767,65,1715,44,1701,101,561,99,1512
2003,79,453,105,1684,119,1580,116,1605,57,1643,83,654,66,1598
2002,91,441,77,1746,91,1657,69,1716,68,1634,181,250,,
2001,168,224,152,1629,205,1492,130,1590,114,1554,505,67,,
2000,358,76,217,1540,,,201,1500,110,1546,650,41,,
1999,491,53,,,,,,,,,330,148,,
1998,973,7,,,,,,,,,1127,8,,
