Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,357,182,175,51.0%,459-452,50.4%,4498-4513,49.9%,82-92,47.1%,333,78.3%,21.1%,7.2%,3.6%,61.5%,70.3%,50.5%,62.7%,36.3%,49.6%,0.97
Clay,238,124,114,52.1%,310-298,51.0%,2928-2905,50.2%,38-34,52.8%,220,74.5%,26.8%,5.2%,3.4%,61.1%,67.8%,50.1%,60.9%,39.3%,50.1%,1.00
Grass,74,39,35,52.7%,116-115,50.2%,1146-1147,50.0%,24-26,48.0%,71,81.6%,18.9%,8.5%,4.1%,62.0%,71.8%,51.9%,64.2%,35.0%,49.7%,0.98
Carpet,20,8,12,40.0%,26-34,43.3%,289-303,48.8%,3-7,30.0%,10,84.3%,20.2%,6.6%,4.2%,60.3%,72.5%,50.8%,63.9%,36.2%,50.4%,1.00
Grand Slams,112,59,53,52.7%,208-197,51.4%,1958-1962,49.9%,31-30,50.8%,112,78.5%,21.5%,6.9%,3.6%,62.1%,69.9%,50.6%,62.6%,36.6%,49.7%,0.98
Masters,135,58,77,43.0%,140-177,44.2%,1448-1609,47.4%,27-23,54.0%,134,75.0%,19.8%,6.0%,3.5%,61.6%,68.9%,49.4%,61.4%,35.7%,48.7%,0.92
Other Tours,391,214,177,54.7%,474-428,52.5%,4543-4391,50.9%,77-93,45.3%,385,78.1%,24.1%,6.9%,3.6%,60.9%,70.0%,51.0%,62.6%,37.8%,50.2%,1.01
Best of 5,156,79,77,50.6%,291-282,50.8%,2788-2772,50.1%,43-43,50.0%,114,78.4%,21.6%,6.9%,3.6%,62.2%,69.9%,50.5%,62.6%,36.7%,49.7%,0.98
Best of 3,533,274,259,51.4%,620-617,50.1%,6073-6096,49.9%,104-116,47.3%,520,77.3%,23.0%,6.6%,3.6%,61.2%,69.7%,50.6%,62.3%,37.2%,49.8%,0.99
Finals,13,5,8,38.5%,13-17,43.3%,138-157,46.8%,3-2,60.0%,13,78.1%,15.6%,6.3%,3.4%,61.3%,69.3%,52.6%,62.8%,33.5%,48.2%,0.90
Semi-finals,30,13,17,43.3%,31-39,44.3%,331-364,47.6%,8-8,50.0%,29,75.8%,19.4%,8.0%,3.7%,61.5%,69.1%,50.5%,62.0%,35.0%,48.7%,0.92
Quarter-finals,73,30,43,41.1%,75-99,43.1%,774-888,46.6%,12-9,57.1%,72,72.3%,21.2%,6.4%,3.9%,59.7%,67.6%,49.5%,60.3%,36.4%,48.2%,0.92
vs Righties,599,301,298,50.3%,767-792,49.2%,7569-7669,49.7%,122-139,46.7%,553,77.3%,22.5%,6.7%,3.6%,61.4%,69.7%,50.3%,62.2%,36.9%,49.6%,0.98
vs Lefties,88,50,38,56.8%,139-107,56.5%,1262-1184,51.6%,25-20,55.6%,80,79.0%,23.7%,7.0%,3.7%,61.7%,70.0%,52.4%,63.3%,38.5%,50.6%,1.05
vs Top 10,75,13,62,17.3%,40-146,21.5%,719-1057,40.5%,7-23,23.3%,68,68.5%,13.7%,6.0%,3.7%,61.2%,64.3%,45.9%,57.2%,31.5%,44.9%,0.74
