Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,33,20,13,60.6%,12,6,6,50.0%,2003,2017,R16,30,0.97,6.1%,3.7%,63.4%,67.7%,49.9%,61.2%,37.5%,59.2%,42.6%
Roland Garros,14,Clay,31,17,14,54.8%,19,11,8,57.9%,2003,2018,SF,29,1.03,5.1%,3.3%,60.5%,69.4%,51.4%,62.3%,38.7%,57.4%,37.1%
Wimbledon,16,Grass,35,19,16,54.3%,22,13,9,59.1%,2000,2018,R16,29,0.96,8.8%,3.4%,63.7%,72.0%,53.3%,65.2%,33.3%,63.2%,34.7%
US Open,16,Hard,33,17,16,51.5%,15,3,12,20.0%,2002,2018,R16,28,0.96,6.9%,4.1%,61.6%,69.5%,46.7%,60.8%,37.5%,62.8%,37.2%
Olympics,3,,6,3,3,50.0%,2,0,2,0.0%,2004,2012,QF,5,1.12,7.5%,1.2%,67.2%,70.2%,50.9%,63.9%,40.4%,54.2%,55.6%
Davis Cup,18,,51,22,29,43.1%,25,12,13,48.0%,2000,2018,,3,1.02,7.4%,2.9%,66.8%,68.3%,52.8%,63.1%,37.7%,56.7%,36.8%
Vienna,16,Hard,38,24,14,63.2%,23,14,9,60.9%,1999,2018,W,35,1.02,7.4%,3.6%,59.7%,72.4%,51.6%,64.0%,36.9%,64.8%,38.7%
Kitzbuhel,12,Clay,25,13,12,52.0%,4,2,2,50.0%,2000,2016,F,25,0.99,5.1%,4.2%,59.7%,70.7%,51.3%,62.9%,36.9%,57.7%,41.4%
Miami Masters,11,Hard,21,10,11,47.6%,12,8,4,66.7%,2004,2015,QF,21,0.91,5.6%,4.9%,59.1%,68.9%,48.7%,60.7%,35.7%,56.0%,38.7%
Indian Wells Masters,11,Hard,20,9,11,45.0%,6,3,3,50.0%,2004,2015,R16,19,0.94,6.7%,3.8%,64.1%,70.6%,47.8%,62.4%,35.5%,61.2%,41.1%
Rome Masters,9,Clay,13,4,9,30.8%,5,2,3,40.0%,2005,2015,R16,13,0.87,4.4%,2.5%,64.7%,65.8%,49.7%,60.1%,34.7%,56.4%,33.9%
Cincinnati Masters,9,Hard,13,4,9,30.8%,9,7,2,77.8%,2004,2014,R16,13,0.86,7.7%,4.0%,63.7%,73.3%,50.9%,65.2%,29.9%,61.6%,30.4%
