Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-10-02),1373,3,,,,,,,,,945,29,,
2022,686,39,,,,,,,,,,,,
2021,479,99,,,,,,,,,,,,
2020,174,415,,,,,,,,,,,,
2019,125,495,161,1593,174,1530,161,1521,92,1590,,,,
2018,212,276,198,1497,193,1457,171,1468,,,,,,
2017,684,29,,,,,,,,,,,,
2016,221,241,,,,,,,,,806,29,,
2015,,,,,,,,,,,920,20,,
2014,420,71,,,,,,,,,890,18,,
2013,441,88,,,,,,,,,714,43,,
2012,727,26,,,,,,,,,476,90,,
