Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Sao Paulo QF,W vs Sierra,3.2,2.7,3.7,59.0%,43.3%,83.3%,50.0%,47.5%,37.8%,5.0,8.2,2.5,5.4
2025 Palermo F,W vs Koevermans,4.3,4.8,3.9,54.5%,54.8%,85.7%,80.0%,60.2%,17.6%,11.0,12.9,10.5,19.8
2025 Iasi R32,W vs Herrero Linana,4.1,3.9,4.4,51.0%,67.9%,73.3%,66.7%,68.3%,26.4%,25.5,23.2,1.5,3.8
2025 Nottingham R16,L vs Noskova,3.3,3.7,2.5,49.5%,27.0%,22.2%,16.7%,57.6%,38.6%,0.0,0.0,3.0,7.7
2025 Queens Club R32,L vs Kessler,3.6,3.4,3.7,48.4%,40.7%,0.0%,50.0%,56.3%,34.8%,-1.0,-1.5,3.5,8.1
2021 Nottingham R64,L vs Garcia Perez,3.6,3.8,3.3,45.0%,51.8%,43.8%,75.0%,71.0%,30.7%,13.0,8.6,2.0,4.0
2021 Phillip Island Trophy R32,L vs Tig,4.4,4.6,4.2,36.5%,54.2%,46.2%,42.9%,61.4%,25.0%,23.5,19.4,-7.5,-12.5
Last 52 Weeks (5 matches),,3.6,3.6,3.6,52.5%,45.8%,58.8%,51.6%,58.4%,31.4%,8.1,10.2,4.2,9.5
Career (7 matches),,3.7,3.8,3.7,48.9%,48.1%,53.8%,52.8%,61.5%,30.2%,11.0,11.5,2.2,4.7
