Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2018 US Open R128,W vs Niculescu,0.0%,-,19.4%,56.8%,7.1%,12.1%,0.0%,4.5%,20.8%,0.0%,-,-58,-53
2015 ITF Waco R32,W vs Hibi,0.0%,-,10.7%,60.0%,5.2%,5.7%,20.0%,8.6%,50.0%,0.0%,-,6,2
2015 Auckland R32,L vs Wozniacki,0.0%,-,9.3%,90.0%,15.3%,31.8%,0.0%,5.7%,12.5%,1.4%,0.0%,43,53
Career (3 matches),,0.0%,-,14.1%,62.9%,7.9%,13.9%,8.3%,6.0%,23.3%,0.3%,0.0%,-15,-11
