Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,53,22,31,41.5%,52-71,42.3%,543-610,47.1%,6-8,42.9%,48,60.4%,31.4%,2.4%,5.5%,62.4%,60.1%,44.0%,54.0%,42.2%,48.1%,0.92
Clay,12,3,9,25.0%,10-20,33.3%,107-148,42.0%,0-2,0.0%,12,52.8%,31.7%,1.3%,4.0%,62.0%,57.6%,42.7%,52.0%,42.1%,47.1%,0.88
Grass,2,0,2,0.0%,1-4,20.0%,14-30,31.8%,1-0,100.0%,2,38.1%,22.7%,1.5%,5.8%,63.5%,46.0%,42.0%,44.5%,38.6%,41.5%,0.70
Grand Slams,16,4,12,25.0%,12-26,31.6%,152-203,42.8%,0-2,0.0%,16,54.3%,32.7%,1.9%,5.7%,63.9%,56.6%,43.8%,52.0%,41.2%,46.7%,0.86
Premiers,18,6,12,33.3%,14-27,34.1%,163-204,44.4%,2-1,66.7%,18,64.5%,23.8%,3.1%,5.0%,60.4%,63.2%,45.4%,56.1%,39.6%,47.7%,0.90
Internationals,19,7,12,36.8%,20-28,41.7%,205-233,46.8%,2-6,25.0%,18,52.7%,37.2%,1.8%,5.2%,63.8%,56.6%,42.3%,51.4%,44.5%,48.0%,0.92
Quarter-finals,2,0,2,0.0%,0-4,0.0%,9-24,27.3%,0-0,-,2,41.2%,12.5%,0.8%,1.7%,66.4%,49.4%,42.5%,47.1%,34.7%,40.9%,0.66
vs Righties,58,23,35,39.7%,57-81,41.3%,578-680,45.9%,5-7,41.7%,55,56.6%,32.8%,2.1%,5.2%,62.5%,58.3%,43.7%,52.8%,42.7%,47.8%,0.90
vs Lefties,8,1,7,12.5%,4-14,22.2%,73-100,42.2%,1-3,25.0%,7,69.0%,18.9%,2.8%,5.7%,61.7%,66.9%,43.3%,57.9%,36.7%,47.1%,0.87
vs Top 10,4,0,4,0.0%,1-8,11.1%,25-53,32.1%,0-0,-,4,42.1%,22.5%,2.1%,8.3%,51.2%,54.8%,38.1%,46.7%,35.5%,41.2%,0.67
