Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 United Cup RR,W vs Helgo,67% (8/12),40% (4/10),2/7,1/2,50% (2/4),0/0,0/0,100% (5/5),40% (2/5)
2023 US Open R128,L vs Muchova,100% (2/2),67% (2/3),0/0,0/0,25% (2/8),1/3,0/1,- (0/0),- (0/0)
2023 Wimbledon R128,L vs Wang,67% (2/3),33% (2/6),0/0,0/0,14% (1/7),3/5,2/3,- (0/0),- (0/0)
2023 Roland Garros R64,L vs Svitolina,38% (5/13),42% (5/12),1/2,0/0,56% (9/16),2/4,2/3,- (0/0),- (0/0)
2023 Roland Garros R128,W vs Parrizas Diaz,63% (10/16),40% (6/15),2/5,1/2,64% (7/11),0/1,0/0,- (0/0),- (0/0)
2022 BJK Cup Finals F: SUI vs AUS RR,L vs Teichmann,53% (8/15),50% (4/8),1/3,0/0,33% (3/9),1/3,0/1,- (0/0),- (0/0)
2022 San Jose R32,L vs Townsend,83% (5/6),0% (0/1),0/0,0/0,40% (2/5),2/4,0/1,- (0/0),- (0/0)
2022 s Hertogenbosch R32,L vs Mertens,75% (6/8),43% (3/7),1/1,0/0,46% (6/13),2/4,1/2,50% (3/6),67% (4/6)
2022 Australian Open R128,L vs Sabalenka,54% (7/13),45% (5/11),1/1,0/0,59% (10/17),2/4,0/1,- (0/0),- (0/0)
2021 BJK Cup Finals RR: AUS vs BLR RR,W vs Hatouka,90% (9/10),60% (3/5),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 BJK Cup Finals RR: AUS vs BEL RR,W vs Mertens,50% (10/20),45% (5/11),2/4,1/2,20% (1/5),0/1,0/0,67% (4/6),50% (3/6)
2021 US Open R128,L vs Doi,50% (6/12),75% (3/4),0/0,0/0,60% (6/10),0/2,0/1,40% (2/5),20% (1/5)
2021 Roland Garros R128,L vs Mertens,21% (3/14),50% (2/4),0/0,0/0,57% (8/14),3/5,3/4,- (0/0),- (0/0)
2020 Hua Hin R32,W vs Eikeri,64% (7/11),56% (5/9),2/7,1/2,57% (4/7),0/0,0/0,- (0/0),- (0/0)
2017 Bendigo $60K R32,L vs Sharma,40% (6/15),30% (3/10),0/0,0/0,55% (6/11),1/3,1/2,50% (2/4),0% (0/5)
2017 Canberra $60K R32,L vs Tere Apisah,63% (5/8),57% (4/7),1/1,0/0,30% (3/10),3/5,2/3,- (0/0),- (0/0)
2017 Brisbane $25K R16,W vs Elie,69% (11/16),45% (5/11),2/6,1/2,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2017 Brisbane $25K R32,W vs McBryde,67% (8/12),67% (4/6),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2017 Saint Gaudens $60K R32,L vs Hogenkamp,44% (8/18),38% (5/13),1/2,0/0,22% (2/9),0/2,0/1,- (0/0),- (0/0)
2017 Dunakeszi $25K R32,L vs Hives,- (0/0),- (0/0),0/0,0/0,0% (0/6),0/2,0/1,- (0/0),- (0/0)
2026 (1 matches),,66.7%,40.0%,28.6%,50.0%,50.0%,-,-,100.0%,40.0%
2023 (4 matches),,55.9%,41.7%,42.9%,50.0%,45.2%,46.2%,57.1%,-,-
2022 (4 matches),,61.9%,44.4%,60.0%,-,47.7%,46.7%,20.0%,50.0%,66.7%
2021 (4 matches),,50.0%,54.2%,57.1%,50.0%,51.7%,37.5%,60.0%,54.5%,36.4%
2020 (1 matches),,63.6%,55.6%,28.6%,50.0%,57.1%,-,-,-,-
Career (80 matches),,57.3%,45.3%,49.7%,50.7%,52.7%,40.7%,43.6%,53.5%,44.1%
