Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Dubai R16,L vs Van De Zandschulp,13.0%,21.0%,47.6%,20.0%,14.5%,26.1%,47.5%,24.6%,41.2%,54.3%,40.0%,10.7%,10.7%,48.0%,-12
2023 Marseille QF,L vs Hurkacz,20.5%,30.8%,52.8%,25.0%,25.0%,35.5%,49.1%,31.8%,54.5%,46.5%,14.3%,13.5%,24.3%,59.4%,16
2022 Stockholm QF,L vs Tsitsipas,9.5%,27.0%,54.4%,23.2%,11.5%,30.8%,56.5%,28.1%,28.6%,74.2%,80.0%,0.0%,9.1%,45.5%,-118
2022 Stockholm R32,W vs Halys,14.9%,28.7%,58.2%,22.8%,16.4%,31.3%,55.4%,27.5%,31.4%,46.9%,50.0%,11.5%,23.1%,65.2%,-23
2022 Florence SF,L vs Wolf,26.7%,35.0%,38.6%,32.8%,22.5%,35.0%,38.7%,31.8%,36.4%,61.1%,0.0%,35.0%,35.0%,38.5%,-79
2022 Florence R32,W vs Van Rijthoven,23.7%,39.5%,82.1%,36.3%,30.0%,50.0%,76.2%,46.0%,41.7%,66.7%,-,0.0%,0.0%,100.0%,-118
2022 Washington SF,L vs Kyrgios,24.6%,36.9%,60.9%,32.0%,26.2%,40.5%,54.8%,37.6%,29.4%,52.0%,0.0%,25.0%,35.0%,73.3%,118
2021 US Open R128,L vs Brooksby,15.9%,21.0%,41.8%,19.9%,24.3%,32.4%,41.1%,31.6%,39.0%,24.2%,16.7%,6.9%,8.6%,42.6%,-47
2021 Winston Salem F,L vs Ivashka,13.6%,16.9%,35.4%,16.3%,16.7%,22.2%,40.0%,21.1%,55.0%,43.8%,75.0%,10.0%,10.0%,27.8%,-22
2021 Gstaad R16,W vs Lopez,30.8%,42.5%,56.4%,36.4%,36.0%,48.8%,60.0%,43.8%,50.0%,34.6%,100.0%,20.7%,31.0%,47.8%,76
2021 Roland Garros R64,W vs Monfils,21.7%,30.2%,52.6%,28.2%,26.8%,39.4%,57.7%,36.5%,36.7%,34.1%,25.0%,13.3%,13.3%,42.3%,8
2021 Australian Open R128,W vs Hurkacz,19.6%,27.7%,54.0%,26.3%,21.0%,31.9%,56.9%,29.9%,45.7%,20.6%,27.3%,18.9%,18.9%,43.3%,49
2020 Montpellier R32,W vs Sinner,20.7%,27.6%,62.8%,27.2%,25.6%,35.9%,69.0%,35.4%,40.0%,31.6%,100.0%,12.5%,12.5%,50.0%,-2
2020 Australian Open R64,L vs Khachanov,15.9%,23.8%,43.7%,21.9%,17.2%,27.9%,48.5%,26.5%,54.2%,27.0%,25.0%,13.6%,16.7%,35.1%,-57
2019 NextGen Finals RR,L vs Sinner,22.7%,22.7%,35.5%,22.7%,23.3%,23.3%,34.8%,23.3%,58.3%,55.6%,100.0%,27.3%,27.3%,37.5%,118
2019 NextGen Finals RR,W vs Humbert,34.9%,39.7%,53.8%,38.3%,42.1%,50.0%,63.6%,47.6%,47.1%,47.6%,0.0%,26.1%,26.1%,41.2%,42
2019 Mouilleron CH F,W vs Bourgue,32.8%,43.1%,62.2%,39.3%,38.6%,47.7%,63.0%,47.3%,54.5%,45.5%,25.0%,16.7%,33.3%,60.0%,39
2019 Orleans CH F,W vs Barrere,28.3%,36.7%,71.4%,39.5%,30.2%,41.9%,80.0%,45.8%,52.2%,55.0%,33.3%,25.0%,25.0%,50.0%,10
2019 Wimbledon Q2,W vs Brown,27.6%,34.5%,63.4%,32.2%,31.4%,40.0%,66.7%,39.1%,66.7%,20.0%,-,22.7%,27.3%,58.8%,-13
2019 Murcia CH F,L vs Carballes Baena,9.0%,15.4%,44.9%,15.3%,13.0%,22.2%,46.8%,22.0%,42.3%,53.6%,40.0%,0.0%,0.0%,40.9%,-118
Career (23 matches),,20.1%,28.9%,52.5%,26.4%,23.3%,34.6%,54.8%,32.7%,44.7%,41.5%,36.5%,14.3%,18.3%,47.7%,26
