Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 Wimbledon R32,L vs Galan,0.87,0.84,50.9,3.3,5.3%,59.2%,1.5%,54.4%,38.5%,45.8%
2023 Wimbledon R64,W vs Fritz,1.30,1.19,41.6,15.1,10.7%,65.3%,1.4%,60.0%,34.4%,33.9%
2023 Wimbledon R128,W vs Molcan,1.29,2.25,22.2,2.0,12.5%,82.5%,0.0%,68.6%,52.0%,31.3%
2023 Dubai R16,L vs Van De Zandschulp,1.00,0.86,65.4,10.0,2.0%,56.9%,2.0%,49.0%,33.3%,48.6%
2023 Marseille QF,L vs Hurkacz,0.94,0.89,89.2,5.6,1.7%,61.7%,7.0%,59.6%,43.6%,30.0%
2022 Stockholm QF,L vs Tsitsipas,0.84,0.68,48.5,2.4,0.0%,54.5%,0.0%,63.3%,32.5%,34.2%
2022 Stockholm R32,W vs Halys,0.99,1.21,66.7,14.6,2.0%,70.6%,0.0%,55.8%,41.1%,47.2%
2022 Florence SF,L vs Wolf,0.76,0.70,52.5,2.3,6.5%,51.6%,3.4%,58.6%,38.2%,45.2%
2022 Florence R32,W vs Van Rijthoven,1.74,5.77,24.7,2.0,0.0%,81.0%,0.0%,88.2%,50.0%,55.0%
2022 US Open R128,L vs Kubler,0.85,0.78,38.1,3.5,0.0%,62.7%,3.8%,63.5%,27.4%,40.9%
2022 Washington SF,L vs Kyrgios,0.84,0.59,51.8,2.3,2.9%,68.6%,0.0%,66.7%,25.0%,20.0%
2022 Wimbledon R64,L vs Sinner,1.07,0.73,33.1,2.3,1.4%,54.8%,1.5%,56.7%,35.1%,24.5%
2022 Wimbledon R128,W vs Altmaier,1.03,1.44,30.5,2.0,5.9%,66.7%,2.1%,70.8%,39.7%,48.3%
2021 US Open R128,L vs Brooksby,0.88,0.80,38.5,2.2,1.4%,54.9%,1.5%,43.3%,45.7%,46.3%
2021 Winston-Salem F,L vs Ivashka,0.68,0.08,19.8,2.1,6.7%,50.0%,0.0%,34.5%,0.0%,14.3%
2021 Gstaad R16,W vs Lopez,1.15,1.11,69.0,17.2,6.5%,59.7%,5.2%,75.9%,31.7%,30.8%
2021 Wimbledon R64,L vs Auger Aliassime,1.04,0.70,38.1,2.3,0.0%,61.7%,0.0%,65.4%,21.4%,28.0%
2021 Wimbledon R128,W vs Tsonga,1.01,1.25,52.3,5.1,3.6%,65.1%,0.0%,75.7%,35.8%,38.2%
2021 Roland Garros R32,L vs Sinner,1.04,0.70,35.2,2.1,0.0%,58.2%,0.0%,47.1%,38.8%,23.3%
2021 Roland Garros R64,W vs Monfils,1.11,1.35,33.8,3.4,0.0%,62.5%,0.0%,58.0%,53.4%,42.3%
2023 (5 matches),,1.06,1.07,54.0,4.3,6.3%,63.9%,2.5%,57.7%,40.1%,38.3%
2022 (8 matches),,0.98,0.98,43.0,2.6,2.3%,62.7%,1.6%,63.3%,35.2%,39.5%
2021 (11 matches),,1.09,0.96,45.4,3.1,2.6%,58.0%,1.7%,57.6%,37.4%,37.6%
2020 (4 matches),,1.14,1.05,29.0,2.1,7.5%,58.8%,4.3%,58.2%,37.7%,38.4%
2019 (32 matches),,1.07,1.20,52.0,2.7,2.5%,60.9%,3.3%,60.8%,42.4%,45.4%
Career (91 matches),,1.04,1.02,50.9,2.8,3.0%,60.1%,2.4%,59.0%,38.9%,40.3%
