Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,7,3,4,42.9%,2,1,1,50.0%,2020,2023,R32,7,0.92,2.9%,3.9%,69.7%,63.3%,42.5%,57.0%,39.4%,57.6%,43.4%
Roland Garros,5,Clay,13,8,5,61.5%,3,2,1,66.7%,2019,2023,R32,13,0.94,2.1%,3.5%,69.0%,60.7%,44.6%,55.7%,41.8%,56.8%,52.1%
Wimbledon,4,Grass,10,6,4,60.0%,7,2,5,28.6%,2019,2023,R32,10,1.03,3.1%,3.8%,68.2%,67.4%,55.4%,63.6%,37.6%,57.0%,36.3%
US Open,4,Hard,6,2,4,33.3%,2,1,1,50.0%,2019,2022,R128,6,0.91,4.5%,3.3%,58.8%,64.1%,49.6%,58.1%,38.2%,51.6%,40.4%
Davis Cup,8,,20,14,6,70.0%,1,1,0,100.0%,2017,2025,,12,1.05,4.2%,4.0%,64.1%,66.7%,51.4%,61.2%,40.6%,63.6%,45.2%
Stockholm,8,Hard,13,5,8,38.5%,4,1,3,25.0%,2014,2025,QF,13,0.97,2.3%,3.1%,69.9%,63.1%,52.8%,60.0%,38.9%,57.1%,37.0%
Bastad,6,Clay,8,2,6,25.0%,1,0,1,0.0%,2014,2025,R16,8,0.91,1.7%,5.1%,62.8%,62.1%,43.7%,55.2%,40.5%,55.1%,35.9%
Miami Masters,6,Hard,11,5,6,45.5%,4,1,3,25.0%,2017,2025,R32,11,1.02,3.5%,3.8%,66.8%,64.9%,48.8%,59.6%,41.4%,46.8%,47.4%
Eastbourne,3,Grass,8,5,3,62.5%,2,1,1,50.0%,2021,2023,QF,8,1.02,2.6%,4.9%,67.0%,65.8%,45.9%,59.2%,41.7%,63.6%,40.8%
Lyon,3,Clay,6,3,3,50.0%,1,1,0,100.0%,2021,2023,R16,6,0.91,3.8%,4.4%,67.3%,66.4%,41.9%,58.4%,37.8%,56.1%,43.8%
Dubai,2,Hard,3,1,2,33.3%,0,0,0,-,2020,2023,R16,3,1.02,2.1%,6.2%,64.6%,65.1%,53.6%,61.0%,39.7%,41.7%,47.1%
