Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2006,822,15,,,,,,,,,,,,
2005,315,103,167,1576,186,1488,135,1570,,,,,,
2004,174,250,158,1582,191,1485,139,1576,180,1447,468,81,,
2003,99,392,99,1687,,,75,1681,,,604,53,,
2002,134,296,121,1665,163,1543,91,1670,135,1503,351,106,,
2001,56,687,97,1710,131,1597,73,1718,128,1537,1117,10,,
2000,114,342,141,1640,141,1569,118,1629,129,1520,695,35,,
1999,75,635,87,1745,148,1576,66,1747,88,1599,1231,4,,
1998,82,612,79,1763,104,1638,63,1757,73,1616,1306,2,,
1997,52,790,102,1734,155,1572,73,1731,,,1272,3,,
1996,97,506,122,1698,146,1593,99,1694,,,674,40,,
1995,164,,139,1689,,,116,1676,,,1197,1,,
1994,470,,,,,,,,,,862,17,,
1993,1124,2,,,,,,,,,,,,
