Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,49,10,39,20.4%,29-92,24.0%,520-690,43.0%,11-15,42.3%,49,75.1%,12.2%,7.1%,4.7%,52.8%,70.9%,48.7%,60.4%,32.0%,46.7%,0.81
Clay,237,111,126,46.8%,272-291,48.3%,2643-2779,48.7%,50-34,59.5%,236,72.1%,25.0%,5.3%,3.6%,56.4%,68.0%,49.6%,60.0%,38.7%,49.4%,0.97
Grass,7,1,6,14.3%,5-19,20.8%,93-140,39.9%,2-3,40.0%,7,70.8%,9.6%,8.4%,5.4%,49.8%,70.7%,45.0%,57.8%,28.8%,44.6%,0.68
Carpet,4,0,4,0.0%,0-8,0.0%,23-50,31.5%,0-0,-,4,54.1%,8.3%,6.3%,5.8%,48.3%,66.4%,41.1%,53.3%,30.7%,42.7%,0.66
Grand Slams,43,15,28,34.9%,51-92,35.7%,627-778,44.6%,14-13,51.9%,43,72.8%,17.5%,6.1%,4.3%,55.6%,69.1%,48.2%,59.8%,34.5%,47.5%,0.86
Masters,16,5,11,31.3%,13-21,38.2%,158-178,47.0%,2-2,50.0%,16,73.1%,20.9%,3.8%,3.5%,53.7%,69.6%,49.5%,60.3%,38.4%,49.2%,0.97
Other Tours,238,102,136,42.9%,242-297,44.9%,2494-2703,48.0%,47-37,56.0%,237,72.3%,23.4%,5.8%,3.8%,55.5%,68.4%,49.4%,59.9%,37.7%,48.9%,0.94
Best of 5,43,15,28,34.9%,51-92,35.7%,627-778,44.6%,14-13,51.9%,43,72.8%,17.5%,6.1%,4.3%,55.6%,69.1%,48.2%,59.8%,34.5%,47.5%,0.86
Best of 3,254,107,147,42.1%,255-318,44.5%,2652-2881,47.9%,49-39,55.7%,253,72.3%,23.2%,5.7%,3.8%,55.4%,68.4%,49.4%,59.9%,37.8%,48.9%,0.94
Finals,2,1,1,50.0%,2-3,40.0%,22-25,46.8%,0-0,-,2,78.3%,16.7%,9.3%,2.1%,55.0%,71.4%,55.6%,64.3%,38.0%,50.0%,1.06
Semi-finals,8,2,6,25.0%,5-13,27.8%,74-96,43.5%,0-2,0.0%,8,67.9%,20.0%,5.3%,3.7%,53.5%,66.6%,45.1%,56.6%,35.7%,46.4%,0.82
Quarter-finals,23,8,15,34.8%,22-34,39.3%,244-303,44.6%,8-4,66.7%,23,72.2%,16.8%,5.7%,3.2%,57.4%,67.6%,50.1%,60.2%,33.2%,47.1%,0.83
vs Righties,253,107,146,42.3%,264-340,43.7%,2803-3085,47.6%,54-47,53.5%,252,72.6%,22.6%,5.7%,3.9%,55.0%,68.7%,49.1%,59.9%,37.3%,48.8%,0.93
vs Lefties,44,15,29,34.1%,42-70,37.5%,476-574,45.3%,9-5,64.3%,44,71.2%,19.3%,6.0%,3.7%,58.0%,67.8%,49.2%,59.9%,36.0%,48.1%,0.90
vs Top 10,18,4,14,22.2%,12-36,25.0%,190-272,41.1%,5-4,55.6%,18,65.9%,16.3%,4.9%,4.1%,54.8%,65.0%,47.6%,57.1%,35.2%,46.3%,0.82
