Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2025-10-06),1161,11,,,,,,,,,,,,
2024,637,61,,,,,,,,,,
2023,587,76,,,,,,,,,,
2022,280,218,,,,,,,,,,
2021,329,192,,,,,,,,,,
2020,212,312,,,,,,,,,708,57
2019,214,283,320,1297,316,1242,291,1289,203,1373,981,20
2018,236,239,,,,,,,,,355,166
2017,398,94,,,,,,,,,425,123
2016,390,92,,,,,,,,,427,112
2015,308,137,,,,,,,,,205,318
2014,257,173,269,1327,270,1257,205,1387,,,290,175
2013,225,274,274,1364,281,1295,,,,,188,374
2012,286,168,,,,,,,,,220,296
2011,299,178,,,,,,,,,272,254
2010,370,115,,,,,,,,,217,307
2009,348,111,,,,,,,,,,
2008,315,76,,,,,,,,,,
2007,388,51,,,,,,,,,,
2006,392,47,,,,,,,,,,
2005,530,29,,,,,,,,,,
2004,939,6,,,,,,,,,,
2003,701,11,,,,,,,,,,
2002,950,5,,,,,,,,,,
