Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,20,12,8,60.0%,18,12,6,66.7%,2018,2025,SF,19,1.10,14.5%,2.0%,66.0%,78.3%,52.5%,69.5%,33.7%,71.4%,35.3%
Roland Garros,4,Clay,13,9,4,69.2%,5,3,2,60.0%,2018,2021,QF,12,1.18,7.9%,2.1%,63.8%,74.8%,55.8%,67.9%,37.8%,64.0%,36.7%
Wimbledon,6,Grass,20,14,6,70.0%,19,10,9,52.6%,2018,2025,F,20,1.09,13.8%,2.4%,62.6%,79.6%,52.3%,69.4%,33.4%,71.1%,38.8%
US Open,8,Hard,27,19,8,70.4%,23,15,8,65.2%,2017,2024,SF,25,1.10,12.7%,2.8%,60.4%,77.5%,53.2%,67.8%,35.3%,71.7%,39.0%
Davis Cup,4,,14,12,2,85.7%,8,3,5,37.5%,2019,2025,,8,1.24,13.5%,1.1%,70.1%,78.6%,54.4%,71.4%,35.4%,72.0%,34.5%
Miami Masters,6,Hard,11,5,6,45.5%,5,2,3,40.0%,2018,2026,QF,11,1.01,10.9%,2.1%,65.6%,76.4%,50.3%,67.4%,32.9%,68.5%,28.2%
Indian Wells Masters,7,Hard,14,6,8,42.9%,5,3,2,60.0%,2018,2026,R16,14,1.01,11.0%,2.7%,63.1%,73.3%,51.0%,65.1%,35.1%,64.4%,44.6%
Rio de Janeiro,2,Clay,5,3,2,60.0%,2,1,1,50.0%,2022,2026,QF,5,1.07,9.2%,2.7%,69.4%,76.3%,48.0%,67.7%,34.6%,63.0%,42.9%
Vienna,4,Hard,13,9,4,69.2%,12,7,5,58.3%,2019,2025,SF,13,1.05,13.3%,1.4%,66.0%,74.9%,53.7%,67.7%,33.8%,75.3%,42.1%
Stockholm,2,Hard,4,2,2,50.0%,2,0,2,0.0%,2024,2025,R16,4,1.07,13.6%,2.4%,60.4%,80.8%,47.5%,67.6%,34.7%,58.3%,38.9%
Shanghai Masters,4,Hard,10,6,4,60.0%,5,4,1,80.0%,2018,2025,SF,10,1.04,14.1%,1.5%,63.8%,78.6%,54.2%,69.8%,31.6%,70.7%,51.4%
