Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Indian Wells R64,L vs Zverev,0.78,0.33,32.9,2.1,18.5%,77.8%,4.0%,60.0%,23.1%,0.0%
2026 Indian Wells R128,W vs Mannarino,1.05,1.23,66.3,4.7,11.1%,51.9%,17.4%,84.8%,35.0%,43.4%
2025 Davis Cup RR,W vs Carreno Busta,1.36,2.08,45.0,2.1,25.9%,74.1%,23.1%,80.8%,40.0%,29.2%
2025 Vienna QF,L vs De Minaur,0.86,0.70,49.9,2.2,17.1%,51.4%,6.7%,50.0%,38.9%,41.7%
2025 Tokyo R16,L vs Ruud,0.72,0.48,45.0,2.2,15.6%,59.4%,18.8%,71.9%,23.3%,22.2%
2025 Wimbledon R128,L vs Majchrzak,0.94,0.82,40.7,3.4,21.9%,67.1%,14.3%,60.3%,27.5%,35.4%
2025 Rome R64,W vs Fearnley,0.98,1.55,53.5,2.5,11.1%,75.0%,6.7%,73.3%,45.2%,35.9%
2025 Madrid R64,W vs Giron,1.03,1.41,59.9,6.2,19.6%,74.5%,6.5%,73.9%,35.7%,34.7%
2025 Monte Carlo R16,L vs Musetti,0.84,0.50,33.6,2.2,8.8%,58.8%,0.0%,52.9%,18.5%,34.8%
2025 Monte Carlo R32,W vs Zverev,1.21,1.24,68.8,5.2,8.7%,63.0%,0.0%,65.9%,43.2%,29.3%
2025 Miami QF,L vs Fritz,1.02,0.75,80.8,2.6,15.9%,68.3%,11.7%,65.0%,25.5%,23.4%
2025 Dubai QF,L vs Tsitsipas,0.71,0.96,68.4,4.0,7.0%,79.1%,8.1%,78.4%,23.3%,34.1%
2025 Dubai R16,W vs Oconnell,0.91,2.84,49.1,2.4,32.1%,92.9%,25.0%,79.2%,44.7%,38.9%
2025 Dubai R32,W vs Monfils,1.05,1.83,47.2,2.1,20.7%,82.8%,12.5%,66.7%,44.1%,41.4%
2025 Doha QF,L vs Draper,0.99,0.72,66.3,4.5,15.8%,61.4%,13.0%,64.8%,31.1%,21.6%
2025 Doha R16,W vs Griekspoor,1.05,1.61,62.9,2.4,28.8%,86.5%,18.2%,79.5%,21.1%,30.8%
2025 Doha R32,W vs Djokovic,1.12,1.52,49.8,2.7,18.8%,65.6%,22.6%,87.1%,26.5%,38.7%
2025 Rotterdam R32,L vs Griekspoor,0.73,1.06,72.9,2.7,17.4%,82.6%,12.5%,82.5%,25.5%,25.0%
2024 Davis Cup RR,W vs Van De Zandschulp,1.15,1.94,39.7,2.4,42.3%,73.1%,20.0%,76.0%,26.7%,61.5%
2024 Stockholm R16,L vs Stricker,0.84,0.81,62.1,3.4,7.7%,59.0%,14.7%,73.5%,27.3%,39.0%
2026 (2 matches),,0.95,0.93,55.8,2.9,13.6%,60.5%,12.7%,76.1%,31.4%,31.5%
2025 (16 matches),,0.97,1.05,57.6,2.8,17.7%,71.1%,12.0%,70.0%,31.6%,32.2%
2024 (17 matches),,1.06,1.16,46.5,2.7,14.1%,67.4%,10.4%,68.8%,33.1%,37.2%
2023 (9 matches),,1.12,1.20,44.8,2.6,15.3%,71.8%,9.8%,71.2%,28.2%,33.0%
2022 (21 matches),,1.05,1.19,43.0,2.5,15.9%,69.9%,12.5%,67.1%,34.3%,37.1%
Career (313 matches),,1.04,1.18,50.0,2.7,11.6%,68.7%,9.5%,68.2%,35.0%,36.6%
