Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),91,650,37,1836,35,1800,28,1796,15,1794,,,,
2025,56,945,33,1852,32,1802,15,1883,13,1802,,,,
2024,34,1380,13,1951,21,1847,6,1947,9,1855,,,,
2023,92,682,14,1900,28,1796,11,1901,6,1861,,,,
2022,16,2375,9,2018,13,1921,8,1952,2,1986,,,,
2021,7,4568,8,2021,13,1908,6,1965,3,1937,,,,
2020,10,3075,39,1799,34,1775,19,1819,,,,,,
2019,8,2870,11,1952,15,1865,8,1909,6,1864,208,330,77,1653
2018,54,932,62,1759,72,1689,41,1752,75,1620,125,615,87,1617
2017,135,410,154,1603,145,1568,140,1550,,,564,88,,
2016,435,92,,,,,,,,,731,62,,
2015,525,66,,,,,,,,,587,94,,
