Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Buenos Aires F,W vs Darderi,13.2%,25.0%,60.0%,19.3%,19.4%,38.9%,51.7%,30.8%,47.1%,57.9%,50.0%,7.1%,10.7%,69.2%,-49
2025 Vienna R16,L vs Bublik,36.0%,42.0%,43.3%,38.0%,48.5%,54.5%,41.2%,51.5%,43.8%,41.2%,50.0%,13.3%,20.0%,46.2%,11
2025 Davis Cup Qualifiers RR,W vs Van De Zandschulp,19.7%,25.8%,49.0%,25.8%,19.4%,25.0%,55.2%,30.6%,41.2%,21.1%,0.0%,23.1%,30.8%,40.0%,102
2025 Wimbledon R128,L vs Borges,26.7%,42.2%,45.7%,36.2%,32.1%,51.9%,50.9%,45.7%,57.9%,55.8%,50.0%,16.1%,22.6%,34.6%,39
2025 Rome R16,L vs Sinner,16.3%,34.9%,47.8%,25.9%,18.0%,39.3%,52.0%,31.6%,34.6%,45.7%,40.0%,13.6%,27.3%,36.8%,14
2025 Madrid SF,L vs Ruud,23.1%,29.2%,48.9%,28.9%,30.8%,41.0%,51.9%,40.5%,52.4%,61.1%,50.0%,13.0%,13.0%,45.0%,9
2025 Madrid QF,W vs Mensik,28.9%,43.3%,62.7%,36.6%,28.1%,43.9%,63.4%,40.2%,50.0%,51.6%,0.0%,35.7%,50.0%,61.1%,150
2025 Madrid R16,W vs Zverev,27.1%,38.6%,63.3%,36.3%,33.3%,52.4%,71.4%,48.6%,45.0%,45.5%,100.0%,19.2%,19.2%,52.4%,29
2025 Munich SF,L vs Shelton,22.2%,33.3%,57.6%,28.7%,20.7%,34.5%,54.3%,30.7%,60.0%,33.3%,0.0%,28.6%,35.7%,65.0%,110
2025 Monte Carlo R32,L vs Alcaraz,23.6%,23.6%,35.1%,25.8%,27.3%,27.3%,33.3%,30.9%,29.4%,62.5%,100.0%,23.5%,23.5%,38.5%,82
2025 Miami QF,L vs Dimitrov,27.0%,35.7%,51.8%,34.1%,30.1%,41.1%,56.9%,41.4%,37.5%,41.5%,28.6%,22.0%,26.8%,43.8%,-43
2025 Indian Wells QF,L vs Alcaraz,20.5%,27.4%,51.9%,24.9%,25.9%,32.8%,53.5%,31.4%,65.2%,48.6%,50.0%,0.0%,9.1%,45.5%,-118
2025 Indian Wells R32,W vs Van De Zandschulp,19.7%,29.6%,56.4%,26.5%,18.4%,34.2%,58.1%,31.1%,30.0%,11.1%,0.0%,22.6%,25.8%,54.2%,13
2025 Buenos Aires F,L vs Fonseca,16.2%,25.0%,50.0%,21.0%,20.9%,27.9%,41.2%,28.6%,41.2%,57.7%,60.0%,8.3%,20.8%,63.6%,-30
2025 Buenos Aires QF,W vs Zverev,19.5%,27.6%,57.6%,25.3%,25.8%,32.3%,52.2%,33.9%,56.3%,43.3%,0.0%,4.8%,19.0%,70.0%,-74
2025 Buenos Aires R16,W vs Cerundolo,16.7%,25.9%,70.5%,22.6%,17.1%,28.6%,69.0%,26.3%,46.7%,15.0%,0.0%,16.7%,22.2%,73.3%,1
2024 Almaty R16,W vs Engel,40.3%,48.4%,60.0%,45.8%,52.8%,58.3%,58.8%,62.2%,50.0%,59.1%,-,25.0%,37.5%,61.1%,37
2024 Cincinnati R64,L vs Khachanov,25.0%,35.4%,30.3%,31.5%,36.7%,53.3%,42.1%,47.0%,46.2%,29.4%,33.3%,6.7%,6.7%,14.3%,-57
2024 Olympics R16,L vs Ruud,34.6%,42.3%,45.5%,39.6%,36.8%,47.4%,45.8%,43.7%,50.0%,50.0%,0.0%,30.8%,30.8%,44.4%,29
2024 Umag F,W vs Musetti,13.5%,27.8%,53.3%,26.0%,15.1%,32.3%,55.7%,32.0%,37.2%,62.0%,88.9%,10.3%,17.2%,46.2%,-18
Career (58 matches),,19.9%,31.6%,52.6%,27.6%,23.1%,37.6%,54.7%,34.7%,46.9%,51.3%,52.6%,15.5%,22.4%,48.3%,33
