Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Buenos Aires F,W vs Darderi,0.0%,-,13.5%,82.4%,19.4%,28.6%,27.3%,4.5%,0.0%,2.6%,50.0%,28,5
2025 Vienna R16,L vs Bublik,0.0%,-,10.3%,41.7%,22.6%,25.0%,0.0%,8.7%,0.0%,0.0%,-,26,-40
2025 Davis Cup Qualifiers RR,W vs Van De Zandschulp,1.5%,100.0%,14.3%,76.2%,18.8%,28.2%,0.0%,13.6%,42.9%,1.6%,50.0%,-14,-17
2025 Wimbledon R128,L vs Borges,1.8%,100.0%,8.3%,78.9%,23.2%,31.0%,40.0%,6.7%,25.0%,2.5%,42.9%,152,136
2025 Rome R16,L vs Sinner,0.0%,-,6.8%,66.7%,17.4%,18.9%,40.0%,4.1%,25.0%,2.4%,20.0%,-3,-19
2025 Madrid SF,L vs Ruud,0.0%,-,3.3%,60.0%,18.9%,16.2%,17.4%,11.9%,44.4%,3.8%,30.0%,19,0
2025 Madrid QF,W vs Mensik,0.0%,-,3.8%,57.1%,12.6%,32.1%,0.0%,10.7%,42.9%,2.3%,50.0%,3,7
2025 Madrid R16,W vs Zverev,1.4%,100.0%,9.4%,81.8%,10.3%,20.0%,0.0%,3.0%,16.7%,2.3%,83.3%,-22,-6
2025 Munich SF,L vs Shelton,0.0%,-,9.2%,88.2%,14.0%,19.4%,0.0%,6.6%,10.0%,1.9%,40.0%,46,27
2025 Monte Carlo R32,L vs Alcaraz,0.0%,-,6.1%,25.0%,6.9%,10.3%,6.7%,5.4%,25.0%,1.1%,33.3%,-88,-59
2025 Miami QF,L vs Dimitrov,0.0%,-,5.8%,69.2%,16.2%,25.9%,8.8%,5.3%,12.5%,1.5%,66.7%,-22,-14
2025 Indian Wells QF,L vs Alcaraz,0.0%,-,11.0%,62.5%,16.7%,32.3%,5.0%,3.2%,33.3%,1.5%,25.0%,-43,-63
2025 Indian Wells R32,W vs Van De Zandschulp,0.0%,-,10.9%,100.0%,16.0%,28.6%,11.1%,3.1%,20.0%,1.9%,60.0%,-47,-55
2025 Buenos Aires F,L vs Fonseca,3.1%,50.0%,4.9%,71.4%,12.4%,10.8%,7.1%,5.1%,0.0%,2.8%,28.6%,4,-30
2025 Buenos Aires QF,W vs Zverev,0.0%,-,4.7%,100.0%,18.0%,26.5%,33.3%,4.1%,50.0%,1.7%,60.0%,-10,-17
2025 Buenos Aires R16,W vs Cerundolo,3.8%,0.0%,8.3%,77.8%,15.5%,18.8%,3.8%,5.5%,21.4%,2.3%,66.7%,22,7
2024 Almaty R16,W vs Engel,7.1%,75.0%,8.9%,66.7%,13.0%,17.6%,0.0%,4.2%,14.3%,0.9%,0.0%,-62,-11
2024 Cincinnati R64,L vs Khachanov,0.0%,-,7.3%,57.1%,14.0%,25.0%,0.0%,0.0%,0.0%,0.0%,-,41,1
2024 Olympics R16,L vs Ruud,0.0%,-,5.3%,50.0%,13.5%,14.3%,10.0%,5.4%,0.0%,2.4%,50.0%,-111,-73
2024 Umag F,W vs Musetti,3.2%,50.0%,17.0%,65.8%,16.1%,12.0%,16.3%,3.4%,15.4%,2.0%,44.4%,28,-1
Career (58 matches),,0.6%,60.7%,8.0%,69.9%,15.6%,20.4%,15.5%,6.5%,26.6%,2.0%,45.9%,3,-7
